ID	GeneSymbol	Description	Log2FC	AdjPValue
E9Q800	Immt	MICOS complex subunit MIC60 OS=Mus musculus OX=10090 GN=Immt PE=1 SV=1	0.473007568	0.947499065
P38647	Hspa9	Stress-70 protein, mitochondrial OS=Mus musculus OX=10090 GN=Hspa9 PE=1 SV=3	1.942983598	3.77E-11
Q9DB77	Uqcrc2	Cytochrome b-c1 complex subunit 2, mitochondrial OS=Mus musculus OX=10090 GN=Uqcrc2 PE=1 SV=1	0.086783766	0.958987417
Q9CZ13	Uqcrc1	Cytochrome b-c1 complex subunit 1, mitochondrial OS=Mus musculus OX=10090 GN=Uqcrc1 PE=1 SV=2	0.158337027	0.042319999
P08249	Mdh2	Malate dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Mdh2 PE=1 SV=3	0.320773477	0.002271196
Q99LC5	Etfa	Electron transfer flavoprotein subunit alpha, mitochondrial OS=Mus musculus OX=10090 GN=Etfa PE=1 SV=2	0.187767747	0.158726063
Q3V2D0	Lonp1	Lon protease homolog, mitochondrial OS=Mus musculus OX=10090 GN=Lonp1 PE=2 SV=1	3.232814227	3.77E-11
Q60597	Ogdh	2-oxoglutarate dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Ogdh PE=1 SV=3	1.044044333	6.78E-07
Q3UIK0	Mybpc3	Myosin-binding protein C, cardiac-type OS=Mus musculus OX=10090 GN=Mybpc3 PE=1 SV=1	-0.2968993	0.999999996
Q60932	Vdac1	Voltage-dependent anion-selective channel protein 1 OS=Mus musculus OX=10090 GN=Vdac1 PE=1 SV=3	0.376290383	0.000909824
P50544	Acadvl	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Acadvl PE=1 SV=3	-0.512513651	5.21E-07
P48962	Slc25a4	ADP/ATP translocase 1 OS=Mus musculus OX=10090 GN=Slc25a4 PE=1 SV=4	0.138814469	0.95020672
Q61941	Nnt	NAD(P) transhydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Nnt PE=1 SV=2	-0.075520008	0.383992627
P05202	Got2	Aspartate aminotransferase, mitochondrial OS=Mus musculus OX=10090 GN=Got2 PE=1 SV=1	0.275007047	0.005855527
Q8QZT1	Acat1	Acetyl-CoA acetyltransferase, mitochondrial OS=Mus musculus OX=10090 GN=Acat1 PE=1 SV=1	-0.351074441	0.00667793
P97807	Fh	Fumarate hydratase, mitochondrial OS=Mus musculus OX=10090 GN=Fh PE=1 SV=3	0.336854639	0.124911346
P31001	Des	Desmin OS=Mus musculus OX=10090 GN=Des PE=1 SV=3	0.360645202	0.097816521
Q8K2B3	Sdha	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Mus musculus OX=10090 GN=Sdha PE=1 SV=1	0.064882852	0.990224979
P54071	Idh2	Isocitrate dehydrogenase [NADP], mitochondrial OS=Mus musculus OX=10090 GN=Idh2 PE=1 SV=3	0.819668183	3.81E-07
P09542	Myl3	Myosin light chain 3 OS=Mus musculus OX=10090 GN=Myl3 PE=1 SV=4	-0.378944497	0.999999996
Q91VD9	Ndufs1	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Mus musculus OX=10090 GN=Ndufs1 PE=1 SV=2	-1.164884385	3.77E-11
P08032	Spta1	Spectrin alpha chain, erythrocytic 1 OS=Mus musculus OX=10090 GN=Spta1 PE=1 SV=3	0.052415894	0.999999996
P68033	Actc1	Actin, alpha cardiac muscle 1 OS=Mus musculus OX=10090 GN=Actc1 PE=1 SV=1	-0.390245038	0.999999996
O08749	Dld	Dihydrolipoyl dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Dld PE=1 SV=2	0.183962835	0.363316952
Q9Z0X1	Aifm1	Apoptosis-inducing factor 1, mitochondrial OS=Mus musculus OX=10090 GN=Aifm1 PE=1 SV=1	0.510961919	6.75E-05
A0A0R4J083	Acadl	Long-chain-specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Acadl PE=1 SV=1	0.945607703	4.08E-05
Q8BFR5	Tufm	Elongation factor Tu, mitochondrial OS=Mus musculus OX=10090 GN=Tufm PE=1 SV=1	0.491596594	0.000111468
E9Q616	Ahnak	AHNAK nucleoprotein (desmoyokin) OS=Mus musculus OX=10090 GN=Ahnak PE=1 SV=1	0.595503661	0.005367011
Q91YT0	Ndufv1	NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial OS=Mus musculus OX=10090 GN=Ndufv1 PE=1 SV=1	-1.354759487	3.16E-11
Q9DCW4	Etfb	Electron transfer flavoprotein subunit beta OS=Mus musculus OX=10090 GN=Etfb PE=1 SV=3	0.699551633	0.000166041
P68134	Acta1	Actin, alpha skeletal muscle OS=Mus musculus OX=10090 GN=Acta1 PE=1 SV=1	2.731183242	0.000731991
Q545A2	Slc25a5	MCG11560 OS=Mus musculus OX=10090 GN=Slc25a5 PE=1 SV=1	1.498250868	3.16E-11
P51667	Myl2	Myosin regulatory light chain 2, ventricular/cardiac muscle isoform OS=Mus musculus OX=10090 GN=Myl2 PE=1 SV=3	-0.418889825	0.675289453
P45952	Acadm	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Acadm PE=1 SV=1	0.446785562	0.023864732
O55143	Atp2a2	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Mus musculus OX=10090 GN=Atp2a2 PE=1 SV=2	-0.03948829	0.827899308
Q9CZU6	Cs	Citrate synthase, mitochondrial OS=Mus musculus OX=10090 GN=Cs PE=1 SV=1	0.331131922	0.159532269
Q921G7	Etfdh	Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial OS=Mus musculus OX=10090 GN=Etfdh PE=1 SV=1	-0.471928835	3.08E-06
Q99LC3	Ndufa10	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial OS=Mus musculus OX=10090 GN=Ndufa10 PE=1 SV=1	-1.634867407	4.34E-11
D3Z041	Acsl1	Long-chain-fatty-acid--CoA ligase 1 OS=Mus musculus OX=10090 GN=Acsl1 PE=1 SV=1	-0.541617996	0.000759999
Q9D0K2	Oxct1	Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial OS=Mus musculus OX=10090 GN=Oxct1 PE=1 SV=1	1.138159145	3.80E-05
Q8VDD5	Myh9	Myosin-9 OS=Mus musculus OX=10090 GN=Myh9 PE=1 SV=4	0.244887059	0.86859468
Q3UGC8	Pcca	Propionyl-Coenzyme A carboxylase, alpha polypeptide, isoform CRA_b OS=Mus musculus OX=10090 GN=Pcca PE=1 SV=1	0.799916203	0.001811804
A3KGU9	Sptan1	Spectrin alpha chain, non-erythrocytic 1 OS=Mus musculus OX=10090 GN=Sptan1 PE=1 SV=2	0.543000877	0.00270241
Q9DB20	Atp5po	ATP synthase subunit O, mitochondrial OS=Mus musculus OX=10090 GN=Atp5po PE=1 SV=1	-0.420819852	0.001372829
B2RX08	Sptb	Spectrin beta chain OS=Mus musculus OX=10090 GN=Sptb PE=2 SV=1	0.313826296	0.999999996
Q9CRB9	Chchd3	MICOS complex subunit Mic19 OS=Mus musculus OX=10090 GN=Chchd3 PE=1 SV=1	0.33571191	0.499925953
Q9DCX2	Atp5h	ATP synthase subunit d, mitochondrial OS=Mus musculus OX=10090 GN=Atp5h PE=1 SV=3	-1.354759487	6.28E-10
Q9CQA3	Sdhb	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial OS=Mus musculus OX=10090 GN=Sdhb PE=1 SV=1	-0.144010303	0.502914765
Q91VB8	Hba-a1	Alpha globin 1 OS=Mus musculus OX=10090 GN=Hba-a1 PE=1 SV=1	-0.673462652	0.020949096
A2AKU9	Atp5c1	ATP synthase subunit gamma OS=Mus musculus OX=10090 GN=Atp5c1 PE=1 SV=1	0.372952098	0.016945644
Q8BMF4	Dlat	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Mus musculus OX=10090 GN=Dlat PE=1 SV=2	0.548929769	0.000226158
Q91WD5	Ndufs2	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial OS=Mus musculus OX=10090 GN=Ndufs2 PE=1 SV=1	-1.19759996	7.30E-11
Q9CR68	Uqcrfs1	Cytochrome b-c1 complex subunit Rieske, mitochondrial OS=Mus musculus OX=10090 GN=Uqcrfs1 PE=1 SV=1	0.171206827	0.718536177
A0A0R4J1N7	Ank1	Ankyrin-1 OS=Mus musculus OX=10090 GN=Ank1 PE=1 SV=1	0.064882852	0.999999996
Q9CQ62	Decr1	2,4-dienoyl-CoA reductase, mitochondrial OS=Mus musculus OX=10090 GN=Decr1 PE=1 SV=1	-0.13289427	0.352607312
P58771	Tpm1	Tropomyosin alpha-1 chain OS=Mus musculus OX=10090 GN=Tpm1 PE=1 SV=1	0.214124805	0.989056365
P67778	Phb	Prohibitin OS=Mus musculus OX=10090 GN=Phb PE=1 SV=1	0.067638717	0.999999996
Q3UFJ3	Pdha1	Pyruvate dehydrogenase E1 component subunit alpha OS=Mus musculus OX=10090 GN=Pdha1 PE=1 SV=1	0.728573603	8.29E-05
A0A0A0MQF6	Gapdh	Glyceraldehyde-3-phosphate dehydrogenase OS=Mus musculus OX=10090 GN=Gapdh PE=1 SV=1	1.439889048	0.040538268
Q8BH95	Echs1	Enoyl-CoA hydratase, mitochondrial OS=Mus musculus OX=10090 GN=Echs1 PE=1 SV=1	0.140124224	0.342985988
Q61425	Hadh	Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Hadh PE=1 SV=2	-0.828793173	4.03E-06
Q8K3Q4	Actn2	Actinin alpha 2 OS=Mus musculus OX=10090 GN=Actn2 PE=2 SV=1	-0.234465254	0.792468396
B2RRX1	Actb	Actin, beta OS=Mus musculus OX=10090 GN=Actb PE=2 SV=1	0.020057652	0.50104254
P58281	Opa1	Dynamin-like 120 kDa protein, mitochondrial OS=Mus musculus OX=10090 GN=Opa1 PE=1 SV=1	-0.639354798	0.004310465
Q9QYR9	Acot2	Acyl-coenzyme A thioesterase 2, mitochondrial OS=Mus musculus OX=10090 GN=Acot2 PE=1 SV=2	2.557042415	1.37E-10
B1AR69	Myh13	Myosin, heavy polypeptide 13, skeletal muscle OS=Mus musculus OX=10090 GN=Myh13 PE=1 SV=1	-0.648371671	
Q9D051	Pdhb	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Mus musculus OX=10090 GN=Pdhb PE=1 SV=1	0.601221086	0.00416256
Q8BH59	Slc25a12	Calcium-binding mitochondrial carrier protein Aralar1 OS=Mus musculus OX=10090 GN=Slc25a12 PE=1 SV=1	0.084064265	0.999999996
P52825	Cpt2	Carnitine O-palmitoyltransferase 2, mitochondrial OS=Mus musculus OX=10090 GN=Cpt2 PE=1 SV=2	-0.226003675	0.381254849
Q9D172	Gatd3a	Glutamine amidotransferase-like class 1 domain-containing protein 3A, mitochondrial OS=Mus musculus OX=10090 GN=Gatd3a PE=1 SV=1	0.192825404	0.336574811
Q8C140	Slc25a13	Uncharacterized protein OS=Mus musculus OX=10090 GN=Slc25a13 PE=2 SV=1	0.23388806	0.265361072
A6ZI44	Aldoa	Fructose-bisphosphate aldolase OS=Mus musculus OX=10090 GN=Aldoa PE=1 SV=1	-0.02180437	0.675748391
A0A1L1STE6	Idh3a	Isocitrate dehydrogenase [NAD] subunit, mitochondrial OS=Mus musculus OX=10090 GN=Idh3a PE=1 SV=1	1.161565256	1.11E-06
Q3TJE3	Hk1	Uncharacterized protein OS=Mus musculus OX=10090 GN=Hk1 PE=2 SV=1	1.533563348	1.62E-07
Q9CPP6	Ndufa5	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 OS=Mus musculus OX=10090 GN=Ndufa5 PE=1 SV=3	-1.052894948	3.21E-05
Q99L13	Hibadh	3-hydroxyisobutyrate dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Hibadh PE=1 SV=1	2.157690514	1.97E-08
Q91VA7	Idh3b	Isocitrate dehydrogenase [NAD] subunit, mitochondrial OS=Mus musculus OX=10090 GN=Idh3b PE=1 SV=1	0.439357178	0.001099777
Q5EBQ0	Vdac3	Voltage-dependent anion channel 3 OS=Mus musculus OX=10090 GN=Vdac3 PE=2 SV=1	0.887525271	3.47E-07
Q99MR8	Mccc1	Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial OS=Mus musculus OX=10090 GN=Mccc1 PE=1 SV=2	-0.13289427	0.999999996
O35129	Phb2	Prohibitin-2 OS=Mus musculus OX=10090 GN=Phb2 PE=1 SV=1	0.393965276	8.27E-05
Q99N15	Hsd17b10	17beta-hydroxysteroid dehydrogenase type 10/short chain L-3-hydroxyacyl-CoA dehydrogenase OS=Mus musculus OX=10090 GN=Hsd17b10 PE=1 SV=1	0.180147861	0.319672859
Q3ULD5	Mccc2	Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial OS=Mus musculus OX=10090 GN=Mccc2 PE=1 SV=1	-0.253257284	0.112770992
Q62261	Sptbn1	Spectrin beta chain, non-erythrocytic 1 OS=Mus musculus OX=10090 GN=Sptbn1 PE=1 SV=2	0.444667067	0.01257679
Q9DC69	Ndufa9	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial OS=Mus musculus OX=10090 GN=Ndufa9 PE=1 SV=2	-1.244685096	3.53E-10
A8DUK4	Hbb-bs	Beta-globin OS=Mus musculus OX=10090 GN=Hbb-bs PE=1 SV=1	-0.749038426	0.017843514
Q9EQ20	Aldh6a1	Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial OS=Mus musculus OX=10090 GN=Aldh6a1 PE=1 SV=1	0.232660757	0.664791916
O35459	Ech1	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial OS=Mus musculus OX=10090 GN=Ech1 PE=1 SV=1	-0.277533976	0.010788433
Q60936	Coq8a	Atypical kinase COQ8A, mitochondrial OS=Mus musculus OX=10090 GN=Coq8a PE=1 SV=2	-0.126580497	0.765593803
Q3UCC6	Sucla2	Succinate-CoA ligase subunit beta (Fragment) OS=Mus musculus OX=10090 GN=Sucla2 PE=2 SV=1	0.983312871	7.48E-08
Q9CZN7	Shmt2	Serine hydroxymethyltransferase, mitochondrial OS=Mus musculus OX=10090 GN=Shmt2 PE=1 SV=1	3.607507865	5.80E-08
P26443	Glud1	Glutamate dehydrogenase 1, mitochondrial OS=Mus musculus OX=10090 GN=Glud1 PE=1 SV=1	0.992768431	0.000264815
Q9CQR4	Acot13	Acyl-coenzyme A thioesterase 13 OS=Mus musculus OX=10090 GN=Acot13 PE=1 SV=1	0.696884091	0.000152306
J3QQ13	Tnnt2	Troponin T, cardiac muscle OS=Mus musculus OX=10090 GN=Tnnt2 PE=1 SV=1	-0.02620507	0.827281682
Q99KR7	Ppif	Peptidyl-prolyl cis-trans isomerase F, mitochondrial OS=Mus musculus OX=10090 GN=Ppif PE=1 SV=1	0.418999465	0.004779551
D3YW14	Myl2	Myosin regulatory light chain 2, ventricular/cardiac muscle isoform (Fragment) OS=Mus musculus OX=10090 GN=Myl2 PE=1 SV=1	-0.314732593	0.999999996
Q9D6J6	Ndufv2	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial OS=Mus musculus OX=10090 GN=Ndufv2 PE=1 SV=2	-1.531156057	1.15E-09
P63017	Hspa8	Heat shock cognate 71 kDa protein OS=Mus musculus OX=10090 GN=Hspa8 PE=1 SV=1	0.001441974	0.576008554
P48678	Lmna	Prelamin-A/C OS=Mus musculus OX=10090 GN=Lmna PE=1 SV=2	0.698663	0.010277987
E9Q7L0	Ogdhl	Oxoglutarate dehydrogenase-like OS=Mus musculus OX=10090 GN=Ogdhl PE=1 SV=1	-0.498178735	0.00936903
Q8JZQ2	Afg3l2	AFG3-like protein 2 OS=Mus musculus OX=10090 GN=Afg3l2 PE=1 SV=1	1.486456956	1.32E-09
B7ZCI2	Nebl	Nebulette OS=Mus musculus OX=10090 GN=Nebl PE=1 SV=1	-0.169744676	0.999999996
Q9WUM5	Suclg1	Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial OS=Mus musculus OX=10090 GN=Suclg1 PE=1 SV=4	0.253384236	0.029462027
Q5SX53	Slc25a11	Solute carrier family 25 (Mitochondrial carrier oxoglutarate carrier), member 11, isoform CRA_b OS=Mus musculus OX=10090 GN=Slc25a11 PE=1 SV=1	-0.148800661	0.388306503
Q4KL76	Hspe1	Heat shock protein 1 (Chaperonin 10) OS=Mus musculus OX=10090 GN=Hspe1 PE=1 SV=1	1.577730931	1.58E-07
Q8BKZ9	Pdhx	Pyruvate dehydrogenase protein X component, mitochondrial OS=Mus musculus OX=10090 GN=Pdhx PE=1 SV=1	1.082021269	3.62E-08
P09671	Sod2	Superoxide dismutase [Mn], mitochondrial OS=Mus musculus OX=10090 GN=Sod2 PE=1 SV=3	0.49057013	0.134769576
Q8CC88	Vwa8	von Willebrand factor A domain-containing protein 8 OS=Mus musculus OX=10090 GN=Vwa8 PE=1 SV=2	3.061257771	8.25E-11
Q3TJD4	Atp5f1	Uncharacterized protein OS=Mus musculus OX=10090 GN=Atp5f1 PE=2 SV=1	-0.332789088	0.206375808
Q546G4	Alb	Albumin 1 OS=Mus musculus OX=10090 GN=Alb PE=1 SV=1	0.576280258	0.004397761
Q7TMF3	Ndufa12	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12 OS=Mus musculus OX=10090 GN=Ndufa12 PE=1 SV=2	-1.53951953	1.59E-07
Q9CQB4	Uqcrb	Cytochrome b-c1 complex subunit 7 OS=Mus musculus OX=10090 GN=Uqcrb PE=1 SV=1	0.332278283	0.012973345
P47934	Crat	Carnitine O-acetyltransferase OS=Mus musculus OX=10090 GN=Crat PE=1 SV=3	0.03562391	0.999999996
P99029	Prdx5	Peroxiredoxin-5, mitochondrial OS=Mus musculus OX=10090 GN=Prdx5 PE=1 SV=2	0.655351829	6.50E-05
O55126	Nipsnap2	Protein NipSnap homolog 2 OS=Mus musculus OX=10090 GN=Nipsnap2 PE=1 SV=1	0.027154052	0.999999996
Q8K009	Aldh1l2	Mitochondrial 10-formyltetrahydrofolate dehydrogenase OS=Mus musculus OX=10090 GN=Aldh1l2 PE=1 SV=2	4.777156666	1.06E-08
P20029	Hspa5	Endoplasmic reticulum chaperone BiP OS=Mus musculus OX=10090 GN=Hspa5 PE=1 SV=3	0.587845009	0.004171644
A0A1S6GWI0	Ndufa8	NADH dehydrogenase (Ubiquinone) 1 alpha subcomplex, 8 OS=Mus musculus OX=10090 GN=Ndufa8 PE=2 SV=1	-1.430508908	7.97E-09
Q6PB66	Lrpprc	Leucine-rich PPR motif-containing protein, mitochondrial OS=Mus musculus OX=10090 GN=Lrpprc PE=1 SV=2	1.294547234	3.38E-07
Q3TG75	Oat	Ornithine aminotransferase OS=Mus musculus OX=10090 GN=Oat PE=1 SV=1	0.767231037	0.000844972
Q9D0M3	Cyc1	Cytochrome c1, heme protein, mitochondrial OS=Mus musculus OX=10090 GN=Cyc1 PE=1 SV=1	0.673556424	0.000546137
Q8BME2	Ndufa12	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12 OS=Mus musculus OX=10090 GN=Ndufa12 PE=2 SV=1	-6.64385619	
Q8VDN2	Atp1a1	Sodium/potassium-transporting ATPase subunit alpha-1 OS=Mus musculus OX=10090 GN=Atp1a1 PE=1 SV=1	0.744161096	7.31E-05
Q3TGZ3	Idh3g	Isocitrate dehydrogenase [NAD] subunit, mitochondrial OS=Mus musculus OX=10090 GN=Idh3g PE=1 SV=1	0.567545448	0.004285761
Q3U6S1	Vim	Uncharacterized protein OS=Mus musculus OX=10090 GN=Vim PE=2 SV=1	NA	
Q80XN0	Bdh1	D-beta-hydroxybutyrate dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Bdh1 PE=1 SV=2	-0.098505545	0.999999996
Q3TFD9	Vim	Uncharacterized protein OS=Mus musculus OX=10090 GN=Vim PE=2 SV=1	-0.15521265	0.999999996
Q925I1	Atad3	ATPase family AAA domain-containing protein 3 OS=Mus musculus OX=10090 GN=Atad3 PE=1 SV=1	1.291603558	1.80E-07
P18155	Mthfd2	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial OS=Mus musculus OX=10090 GN=Mthfd2 PE=1 SV=1	5.458152299	8.47E-08
Q07417	Acads	Short-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Acads PE=1 SV=2	0.109694865	0.971593532
Q60930	Vdac2	Voltage-dependent anion-selective channel protein 2 OS=Mus musculus OX=10090 GN=Vdac2 PE=1 SV=2	0.799087306	3.09E-06
Q62425	Ndufa4	Cytochrome c oxidase subunit NDUFA4 OS=Mus musculus OX=10090 GN=Ndufa4 PE=1 SV=2	0.155749233	0.017083409
Q9Z2I8	Suclg2	Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial OS=Mus musculus OX=10090 GN=Suclg2 PE=1 SV=3	2.345680231	9.37E-09
P62806	Hist1h4a	Histone H4 OS=Mus musculus OX=10090 GN=Hist1h4a PE=1 SV=2	0.163498732	0.458973615
E9PZ16	Hspg2	Basement membrane-specific heparan sulfate proteoglycan core protein OS=Mus musculus OX=10090 GN=Hspg2 PE=1 SV=1	-0.545824107	0.803567822
Q9DCT2	Ndufs3	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial OS=Mus musculus OX=10090 GN=Ndufs3 PE=1 SV=2	-1.392137097	4.91E-11
Q3TVM2	Aldh2	Uncharacterized protein OS=Mus musculus OX=10090 GN=Aldh2 PE=2 SV=1	0.381837084	0.004397761
P19783	Cox4i1	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial OS=Mus musculus OX=10090 GN=Cox4i1 PE=1 SV=2	0.575312331	4.50E-05
E9QPX3	Ndufs4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial OS=Mus musculus OX=10090 GN=Ndufs4 PE=1 SV=1	-0.974262439	2.34E-06
Q8BK99	Opa1	Uncharacterized protein OS=Mus musculus OX=10090 GN=Opa1 PE=2 SV=1	-1.836501268	0.177482429
P42125	Eci1	Enoyl-CoA delta isomerase 1, mitochondrial OS=Mus musculus OX=10090 GN=Eci1 PE=1 SV=2	-0.118726939	0.4239152
P62631	Eef1a2	Elongation factor 1-alpha 2 OS=Mus musculus OX=10090 GN=Eef1a2 PE=1 SV=1	-0.336427665	0.055784266
Q9CPY7	Lap3	Cytosol aminopeptidase OS=Mus musculus OX=10090 GN=Lap3 PE=1 SV=3	2.959770155	9.44E-09
E9Q557	Dsp	Desmoplakin OS=Mus musculus OX=10090 GN=Dsp PE=1 SV=1	0.619178216	0.188531049
Q9DB73	Cyb5r1	NADH-cytochrome b5 reductase 1 OS=Mus musculus OX=10090 GN=Cyb5r1 PE=1 SV=1	4.288210889	7.74E-10
Q9DCS9	Ndufb10	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10 OS=Mus musculus OX=10090 GN=Ndufb10 PE=1 SV=3	-1.634867407	3.47E-07
Q2TPA8	Hsdl2	Hydroxysteroid dehydrogenase-like protein 2 OS=Mus musculus OX=10090 GN=Hsdl2 PE=1 SV=1	0.718087584	6.04E-05
Q91WS0	Cisd1	CDGSH iron-sulfur domain-containing protein 1 OS=Mus musculus OX=10090 GN=Cisd1 PE=1 SV=1	0.378511623	0.150087758
Q3TK29	Trap1	Uncharacterized protein OS=Mus musculus OX=10090 GN=Trap1 PE=2 SV=1	2.962919135	3.77E-11
Q99JB2	Stoml2	Stomatin-like protein 2, mitochondrial OS=Mus musculus OX=10090 GN=Stoml2 PE=1 SV=1	1.663116867	1.27E-07
P12787	Cox5a	Cytochrome c oxidase subunit 5A, mitochondrial OS=Mus musculus OX=10090 GN=Cox5a PE=1 SV=2	0.292781749	0.81761828
Q9CQZ5	Ndufa6	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 OS=Mus musculus OX=10090 GN=Ndufa6 PE=1 SV=1	-1.055891201	7.99E-05
Q9D2G2	Dlst	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Mus musculus OX=10090 GN=Dlst PE=1 SV=1	0.619178216	0.001273654
Q9Z2I0	Letm1	Mitochondrial proton/calcium exchanger protein OS=Mus musculus OX=10090 GN=Letm1 PE=1 SV=1	0.635986504	0.001698235
Q3TWN8	Aldh18a1	Delta-1-pyrroline-5-carboxylate synthase OS=Mus musculus OX=10090 GN=Aldh18a1 PE=2 SV=1	3.846894427	2.67E-08
Q9WUR2	Eci2	Enoyl-CoA delta isomerase 2, mitochondrial OS=Mus musculus OX=10090 GN=Eci2 PE=1 SV=2	-0.334607229	0.088339282
Q62234	Myom1	Myomesin-1 OS=Mus musculus OX=10090 GN=Myom1 PE=1 SV=2	-0.54793177	0.999999996
Q9JKS4	Ldb3	LIM domain-binding protein 3 OS=Mus musculus OX=10090 GN=Ldb3 PE=1 SV=1	-0.274040765	0.62718323
P97450	Atp5j	ATP synthase-coupling factor 6, mitochondrial OS=Mus musculus OX=10090 GN=Atp5j PE=1 SV=1	-0.678071905	8.27E-05
Q8BJT5	Acadm	Uncharacterized protein (Fragment) OS=Mus musculus OX=10090 GN=Acadm PE=2 SV=1	-6.64385619	
Q9CQJ8	Ndufb9	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9 OS=Mus musculus OX=10090 GN=Ndufb9 PE=1 SV=3	-1.332789088	1.92E-08
