Gene	Gene synonym	Ensembl	Uniprot	Subcellular main location
ACACA	ACAC, ACC, ACC1	ENSG00000278540	Q13085	Cytosol
ACADVL	ACAD6, LCACD, VLCAD	ENSG00000072778	P49748	Nucleoli, Mitochondria
ACAT2		ENSG00000120437	Q9BWD1	Cytosol
ACBD6	MGC2404	ENSG00000230124	Q9BR61	Nucleoplasm
ACBD7	bA455B2.2, FLJ38219	ENSG00000176244	Q8N6N7	Vesicles, Cytosol
ACIN1	ACINUS, fSAP152, KIAA0670	ENSG00000100813	Q9UKV3	Nucleoplasm
ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	ENSG00000144648	O00590	Vesicles, Cytosol
ACLY	ACL, ATPCL, CLATP	ENSG00000131473	P53396	Plasma membrane, Cytosol
ACO1	IREB1, IREBP, IRP1	ENSG00000122729	P21399	Mitochondria, Cytosol
ACOT11	BFIT, BFIT1, KIAA0707, STARD14, THEA, THEM1	ENSG00000162390	Q8WXI4	Cytosol
ACOT12	Cach, STARD15, THEAL	ENSG00000172497	Q8WYK0	Nucleoplasm
ACOT7	ACH1, ACT, BACH, CTE-II, hBACH, LACH1, MGC1126	ENSG00000097021	O00154	Cytosol
ACOT9	ACATE2, CGI-16, MT-ACT48	ENSG00000123130	Q9Y305	Plasma membrane, Cytosol
ACOX2	BRCACOX, BRCOX, THCCox	ENSG00000168306	Q99424	Vesicles
ACOXL	FLJ11042	ENSG00000153093	Q9NUZ1	Cytosol
ACP1	HAAP, LMW-PTP, LMWPTP	ENSG00000143727	P24666	Nucleoplasm
ACP5	HPAP, TRAP	ENSG00000102575	P13686	Cytosol
ACSBG2	BGR, DKFZp434K1635, PRTD-NY3	ENSG00000130377	Q5FVE4	Cytosol
ACSF2	ACSMW, FLJ20920	ENSG00000167107	Q96CM8	Nucleoplasm, Cytosol
ACSS2	ACAS2, AceCS, ACS, ACSA, dJ1161H23.1	ENSG00000131069	Q9NR19	Nucleoplasm, Cytosol
ACTL6A	Actl6, Arp4, BAF53A, INO80K	ENSG00000136518	O96019	Nucleoplasm
ACTL8	CT57	ENSG00000117148	Q9H568	Cytosol
ACTN4	FSGS1	ENSG00000130402	O43707	Nuclear bodies, Actin filaments
ACTR2	ARP2	ENSG00000138071	P61160	Cytosol
ACTR6	ARP6, FLJ13433	ENSG00000075089	Q9GZN1	Plasma membrane, Cytosol
ACVR1	ACVR1A, ACVRLK2, ALK2, SKR1	ENSG00000115170	Q04771	Nucleoli
ACVR1B	ActRIB, ACVRLK4, ALK4, SKR2	ENSG00000135503	P36896	Cytosol
ACVR2A	ACTRII, ACVR2	ENSG00000121989	P27037	Cytosol
ACVR2B	ActR-IIB	ENSG00000114739	Q13705	Nucleoplasm, Cytosol
ACYP1		ENSG00000119640	P07311	Cytosol
ADA		ENSG00000196839	P00813	Plasma membrane
ADAM17	CD156B, cSVP, TACE	ENSG00000151694	P78536	Cytosol
ADAMTS15		ENSG00000166106	Q8TE58	Cytosol
ADAMTSL4	DKFZP434K1772, TSRC1	ENSG00000143382	Q6UY14	Plasma membrane, Cytosol
ADAP1	CENTA1, GCS1L	ENSG00000105963	O75689	Plasma membrane, Cytosol
ADARB1	ADAR2, ADAR2a, ADAR2a-L1, ADAR2a-L2, ADAR2a-L3, ADAR2b, ADAR2c, ADAR2d, ADAR2g, DRABA2, DRADA2, hRED1, RED1	ENSG00000197381	P78563	Nucleoplasm
ADAT2	DEADC1, dJ20N2.1, TAD2	ENSG00000189007	Q7Z6V5	Golgi apparatus
ADCK2	MGC20727	ENSG00000133597	Q7Z695	Centrosome, Cytosol
ADCK5	FLJ35454	ENSG00000173137	Q3MIX3	Plasma membrane, Cytosol
ADCY7	AC7, KIAA0037	ENSG00000121281	P51828	Cytosol
ADCY9	AC9	ENSG00000162104	O60503	Cytosol
ADD2	ADDB	ENSG00000075340	P35612	Nucleoplasm, Cytosol
ADGRD1	DKFZp434B1272, GPR133, PGR25	ENSG00000111452	Q6QNK2	Nucleoplasm, Cytosol
ADGRE2	CD312, EMR2	ENSG00000127507	Q9UHX3	Vesicles
ADGRE5	CD97, TM7LN1	ENSG00000123146	P48960	Cytosol
ADGRG2	EDDM6, GPR64, HE6, TM7LN2	ENSG00000173698	Q8IZP9	Plasma membrane, Cytosol
ADH1A	ADH1	ENSG00000187758	P07327	Plasma membrane, Cytosol
ADH1B	ADH2	ENSG00000196616	P00325	Plasma membrane, Cytosol
ADH1C	ADH3	ENSG00000248144	P00326	Plasma membrane, Cytosol
ADH4	ADH-2	ENSG00000198099	P08319	Nucleoplasm, Cytosol
ADH7	ADH-4	ENSG00000196344	P40394	Plasma membrane, Cytosol
ADIRF	AFRO, APM2, C10orf116	ENSG00000148671	Q15847	Nucleoplasm, Cytosol
ADK	AK	ENSG00000156110	P55263	Nucleoplasm, Cytosol
ADNP2	KIAA0863, ZNF508	ENSG00000101544	Q6IQ32	Mitochondria, Cytosol
ADORA2B		ENSG00000170425	P29275	Cytosol
ADRB2	ADRB2R, ADRBR, B2AR, BAR	ENSG00000169252	P07550	Cytosol
ADRM1	ARM1, GP110, Rpn13	ENSG00000130706	Q16186	Nucleoplasm, Cytosol
ADSL		ENSG00000239900	P30566	Cytosol
ADSS		ENSG00000035687	P30520	Cytosol
AEBP1	ACLP	ENSG00000106624	Q8IUX7	Vesicles
AFAP1	AFAP, AFAP-110	ENSG00000196526	Q8N556	Actin filaments, Cytosol
AFAP1L2	Em:AC005383.4, FLJ14564, KIAA1914, XB130	ENSG00000169129	Q8N4X5	Plasma membrane, Cytosol
AFF3	LAF4, MLLT2-like	ENSG00000144218	P51826	Nucleoplasm
AFG1L	AFG1, LACE1	ENSG00000135537	Q8WV93	Plasma membrane, Cytosol
AFP	FETA, HPAFP	ENSG00000081051	P02771	Golgi apparatus
AFTPH	FLJ20080, FLJ23793, MGC33965, Nbla10388	ENSG00000119844	Q6ULP2	Cytosol
AGAP2	CENTG1	ENSG00000135439	Q99490	Nucleoplasm, Cytosol
AGBL3	CCP3, MGC32955	ENSG00000146856	Q8NEM8	Nuclear speckles, Mitochondria, Cytosol
AGBL5	CCP5, FLJ21839	ENSG00000084693	Q8NDL9	Cytokinetic bridge
AGL		ENSG00000162688	P35573	Nucleoplasm
AGRN	AGRIN	ENSG00000188157	O00468	Plasma membrane, Cytosol
AHCY	SAHH	ENSG00000101444	P23526	Cytosol
AHCYL1	IRBIT, PPP1R78, XPVKONA	ENSG00000168710	O43865	Cytosol
AHCYL2	KIAA0828	ENSG00000158467	Q96HN2	Cytosol
AHNAK	MGC5395	ENSG00000124942	Q09666	Plasma membrane, Cytosol
AHNAK2	C14orf78	ENSG00000185567	Q8IVF2	Cytosol
AHR	bHLHe76	ENSG00000106546	P35869	Cytosol
AHRR	AHH, AHHR, bHLHe77, KIAA1234	ENSG00000063438	A9YTQ3	Nucleoplasm
AHSA1	Aha1, C14orf3, hAha1, p38	ENSG00000100591	O95433	Cytosol
AIDA	C1orf80, FLJ12806	ENSG00000186063	Q96BJ3	Cytosol
AIF1	AIF-1, Em:AF129756.17, IBA1, IRT-1	ENSG00000204472	P55008	Cytosol
AIFM2	AMID, FLJ14497, PRG3	ENSG00000042286	Q9BRQ8	Vesicles
AIM2	PYHIN4	ENSG00000163568	O14862	Mitochondria
AIMP1	EMAP-2, EMAPII, p43, SCYE1	ENSG00000164022	Q12904	Cytosol
AIMP2	JTV-1, JTV1, p38, PRO0992	ENSG00000106305	Q13155	Cytosol
AIP	ARA9, FKBP16, XAP2	ENSG00000110711	O00170	Cytosol
AIPL1	LCA4	ENSG00000129221	Q9NZN9	Nucleoplasm, Cytosol
AJM1	ajm-1, C9orf172	ENSG00000232434	C9J069	Focal adhesion sites, Cytosol
AK1		ENSG00000106992	P00568	Cytosol
AK5		ENSG00000154027	Q9Y6K8	Cytosol
AK6	CINAP	ENSG00000085231	Q9Y3D8	Nuclear speckles
AKAP10	D-AKAP2, MGC9414, PRKA10	ENSG00000108599	O43572	Plasma membrane, Cytosol
AKAP11	AKAP220, DKFZp781I12161, FLJ11304, KIAA0629, PPP1R44, PRKA11	ENSG00000023516	Q9UKA4	Plasma membrane, Cytosol
AKAP12	AKAP250, SSeCKS	ENSG00000131016	Q02952	Plasma membrane, Cytosol
AKAP13	AKAP-Lbc, ARHGEF13, BRX, c-lbc, HA-3, Ht31, LBC, PROTO-LB	ENSG00000170776	Q12802	Cytosol
AKAP17A	721P, CCDC133, CXYorf3, DXYS155E, MGC39904, SFRS17A, XE7, XE7Y	ENSG00000197976	Q02040	Nuclear speckles
AKR1A1	ALR, DD3	ENSG00000117448	P14550	Cytosol
AKR1B1	ALDR1, AR	ENSG00000085662	P15121	Cytosol
AKR1B10	AKR1B11, AKR1B12, ALDRLn, ARL-1, ARL1, HIS, HSI	ENSG00000198074	O60218	Cytosol
AKR1B15		ENSG00000227471	C9JRZ8	Cytosol
AKR1C1	DD1, DDH, DDH1, HAKRC, MBAB	ENSG00000187134	Q04828	Endoplasmic reticulum, Cytosol
AKR1C2	BABP, DD, DD2, DDH2, HAKRD, MCDR2, TDD	ENSG00000151632	P52895	Nucleoplasm, Cytosol
AKR1C3	DDX, HAKRB, HSD17B5, KIAA0119, PGFS	ENSG00000196139	P42330	Nucleoplasm, Cytosol
AKR1C4	3-alpha-HSD, C11, CDR, CHDR, DD4, HAKRA, MGC22581	ENSG00000198610	P17516	Nucleoplasm, Cytosol
AKR1D1	SRD5B1	ENSG00000122787	P51857	Nucleoplasm
AKR7A2	AFAR	ENSG00000053371	O43488	Cytosol
AKR7A3		ENSG00000162482	O95154	Cytosol
AKT1S1	Lobe, MGC2865, PRAS40	ENSG00000204673	Q96B36	Cytosol
AKT2		ENSG00000105221	P31751	Nucleoplasm, Vesicles, Cytosol
AKT3	PKBG, PRKBG, RAC-gamma	ENSG00000117020	Q9Y243	Cytosol
AL121900.2		ENSG00000284776		Nucleoli, Cytosol
AL136454.1		ENSG00000231767		Nucleoli, Endoplasmic reticulum, Cytosol
AL139011.2		ENSG00000258465		Nucleoplasm, Cytosol
AL139300.1		ENSG00000256500		Plasma membrane
ALDH1A1	ALDH1, PUMB1, RALDH1	ENSG00000165092	P00352	Cytosol
ALDH1A3	ALDH6, RALDH3	ENSG00000184254	P47895	Nucleoplasm
ALDH1L1	10-fTHF, FTHFD	ENSG00000144908	O75891	Cytosol
ALDH3A1	ALDH3	ENSG00000108602	P30838	Plasma membrane, Cytosol
ALDH7A1	ATQ1, EPD, PDE	ENSG00000164904	P49419	Mitochondria
ALDH9A1	ALDH4, ALDH7, ALDH9, E3	ENSG00000143149	P49189	Cytosol
ALDOA		ENSG00000149925	P04075	Cytosol
ALDOA		ENSG00000285043	P04075	Cytosol
ALDOC		ENSG00000109107	P09972	Nucleoplasm, Nucleoli fibrillar center
ALG2	CDG1I, CDGIi, FLJ14511, hALPG2, NET38	ENSG00000119523	Q9H553	Actin filaments, Cytosol
ALG5	bA421P11.2	ENSG00000120697	Q9Y673	Cytosol
ALKBH5	FLJ20308, OFOXD1	ENSG00000091542	Q6P6C2	Nucleoplasm, Golgi apparatus, Cytosol
ALMS1	KIAA0328	ENSG00000116127		Centrosome, Cytosol
ALOX12	12S-LOX	ENSG00000108839	P18054	Cytosol
ALOX12B	12R-LOX	ENSG00000179477	O75342	Cytosol
ALOX15B	15-LOX-2	ENSG00000179593	O15296	Plasma membrane, Cytosol
ALOXE3	E-LOX, eLOX3	ENSG00000179148	Q9BYJ1	Plasma membrane, Cytosol
ALPK2	HAK	ENSG00000198796	Q86TB3	Cytosol
ALPL	HOPS, TNSALP	ENSG00000162551	P05186	Cytosol
ALS2	ALS2CR6	ENSG00000003393	Q96Q42	Intermediate filaments, Cytosol
ALS2CR12		ENSG00000155749	Q96Q35	Plasma membrane, Cytosol
AMBP	EDC1, HCP, HI30, IATIL, ITI, ITIL, ITILC, UTI	ENSG00000106927	P02760	Golgi apparatus
AMDHD1	MGC35366	ENSG00000139344	Q96NU7	Cytosol
AMDHD2	CGI-14	ENSG00000162066	Q9Y303	Nucleoli, Cytosol
AMER3	FAM123C, FLJ38377	ENSG00000178171	Q8N944	Nuclear bodies
AMHR2	MISR2, MISRII	ENSG00000135409	Q16671	Vesicles
AMIGO2	ALI1, DEGA	ENSG00000139211	Q86SJ2	Golgi apparatus, Plasma membrane
AMMECR1L	MGC4268	ENSG00000144233	Q6DCA0	Nucleoplasm, Cytosol
AMOTL1	JEAP	ENSG00000166025	Q8IY63	Cytosol
AMPD2	SPG63	ENSG00000116337	Q01433	Cytosol
AMPH		ENSG00000078053	P49418	Cytosol
AMZ2		ENSG00000196704	Q86W34	Nucleoplasm
ANAPC13	APC13, DKFZP566D193, SWM1	ENSG00000129055	Q9BS18	Mitochondria, Cytosol
ANAPC16	APC16, bA570G20.3, C10orf104, CENP-27, FLJ33728	ENSG00000166295	Q96DE5	Cytosol
ANAPC7	APC7	ENSG00000196510	Q9UJX3	Nucleoplasm, Cytosol
ANKEF1	ANKRD5, dJ839B4.6, FLJ21669	ENSG00000132623	Q9NU02	Nucleoli fibrillar center, Plasma membrane, Cytosol
ANKH	ANK, CCAL2, CMDJ, CPPDD, HANK, SLC62A1	ENSG00000154122	Q9HCJ1	Cytosol
ANKIB1	DKFZP434A0225, KIAA1386	ENSG00000001629	Q9P2G1	Plasma membrane, Cytosol
ANKLE1	ANKRD41, FLJ39369, LEMD6	ENSG00000160117	Q8NAG6	Nucleoplasm, Cytosol
ANKMY1	FLJ20499, ZMYND13	ENSG00000144504	Q9P2S6	Nuclear bodies
ANKMY2	DKFZP564O043, ZMYND20	ENSG00000106524	Q8IV38	Cytosol
ANKRD10	FLJ20093	ENSG00000088448	Q9NXR5	Microtubules
ANKRD11	LZ16, T13	ENSG00000167522	Q6UB99	Nucleoplasm
ANKRD12	FLJ20053, GAC-1, KIAA0874	ENSG00000101745	Q6UB98	Nucleoplasm
ANKRD18A	FLJ35740, KIAA2015	ENSG00000180071	Q8IVF6	Nucleoli
ANKRD18B	bA255A11.3	ENSG00000230453	A2A2Z9	Nucleoli
ANKRD24	KIAA1981	ENSG00000089847	Q8TF21	Microtubules, Cytosol
ANKRD27	DKFZp434L0718, FLJ00040, VARP	ENSG00000105186	Q96NW4	Cytosol
ANKRD34A	ANKRD34	ENSG00000272031	Q69YU3	Cytosol
ANKRD34B	DP58	ENSG00000189127	A5PLL1	Nucleoplasm, Mitochondria
ANKRD36	UNQ2430	ENSG00000135976	A6QL64	Nucleoplasm, Cytosol
ANKRD36B	FLJ21281, KIAA1641	ENSG00000196912	Q8N2N9	Nucleoplasm, Cytosol
ANKRD36C	DKFZp667P0924	ENSG00000174501	Q5JPF3	Nucleoplasm, Cytosol
ANKRD37	Lrp2bp	ENSG00000186352	Q7Z713	Nucleoplasm, Cytosol
ANKRD40	MGC15396	ENSG00000154945	Q6AI12	Golgi apparatus
ANKRD42	FLJ37874, PPP1R79, SARP	ENSG00000137494	Q8N9B4	Nucleoplasm, Cytosol
ANKRD45	CT117, FLJ45235	ENSG00000183831	Q5TZF3	Cytosol
ANKRD46		ENSG00000186106	Q86W74	Cytosol
ANKRD50	KIAA1223	ENSG00000151458	Q9ULJ7	Nucleoplasm, Cytosol
ANKRD55	FLJ11795	ENSG00000164512	Q3KP44	Nucleoplasm, Nuclear speckles
ANKS1A	ANKS1, KIAA0229	ENSG00000064999	Q92625	Nucleoplasm
ANKS1B	AIDA-1, ANKS2, cajalin-2, EB-1	ENSG00000185046	Q7Z6G8	Plasma membrane, Cytosol
ANKS3	FLJ32345, FLJ32767, KIAA1977	ENSG00000168096	Q6ZW76	Nucleoplasm
ANKS4B	FLJ38819, HARP	ENSG00000175311	Q8N8V4	Nucleoplasm, Cytosol
ANKS6	ANKRD14, FLJ36928, NPHP16, SAMD6	ENSG00000165138	Q68DC2	Nucleoli
ANKZF1	FLJ10415, ZNF744	ENSG00000163516	Q9H8Y5	Nucleoplasm
ANO6	DKFZp313M0720, TMEM16F	ENSG00000177119	Q4KMQ2	Plasma membrane, Cytosol
ANP32A	C15orf1, I1PP2A, LANP, MAPM, mapmodulin, PHAPI, PP32	ENSG00000140350	P39687	Nucleoplasm, Centrosome
ANP32B	APRIL, PHAPI2, SSP29	ENSG00000136938	Q92688	Nucleoplasm
ANP32D	PP32R2	ENSG00000139223	O95626	Nucleoplasm, Centrosome
ANP32E	LANP-L, LANPL, MGC5350	ENSG00000143401	Q9BTT0	Nucleoplasm, Centrosome
ANXA1	ANX1, LPC1	ENSG00000135046	P04083	Plasma membrane, Cytosol
ANXA11	ANX11	ENSG00000122359	P50995	Nucleoplasm
ANXA2	ANX2, ANX2L4, CAL1H, LIP2, LPC2D	ENSG00000182718	P07355	Plasma membrane
ANXA2R	AXIIR, C5orf39	ENSG00000177721	Q3ZCQ2	Nucleoplasm
ANXA3	ANX3	ENSG00000138772	P12429	Cytosol
ANXA4	ANX4	ENSG00000196975	P09525	Cytosol
ANXA6	ANX6	ENSG00000197043	P08133	Cytosol
ANXA7	ANX7	ENSG00000138279	P20073	Nucleoplasm
ANXA9	ANX31	ENSG00000143412	O76027	Nuclear speckles, Cytosol
AOC3	HPAO, VAP-1, VAP1	ENSG00000131471	Q16853	Cytosol
AP000646.1		ENSG00000285509		Cytosol
AP001273.2		ENSG00000284057		Nuclear speckles
AP1B1	ADTB1, AP105A, BAM22, CLAPB2	ENSG00000100280	Q10567	Golgi apparatus, Vesicles
AP1G1	ADTG, CLAPG1	ENSG00000166747	O43747	Vesicles
AP3B2	NAPTB	ENSG00000103723	Q13367	Golgi apparatus
AP3D1	ADTD	ENSG00000065000	O14617	Cytosol
AP5S1	C20orf29, FLJ11168	ENSG00000125843	Q9NUS5	Nucleoplasm, Cytosol
APAF1	APAF-1, CED4	ENSG00000120868	O14727	Nucleoplasm, Cytosol
APBB1IP	INAG1, RIAM	ENSG00000077420	Q7Z5R6	Plasma membrane, Cytosol
APBB3	FE65L2	ENSG00000113108	O95704	Actin filaments, Cytosol
APC2	APCL	ENSG00000115266	O95996	Cytokinetic bridge, Midbody
APEH	D3F15S2, D3S48E, DNF15S2	ENSG00000164062	P13798	Cytosol
APIP	APIP2, CGI-29, Mmrp19	ENSG00000149089	Q96GX9	Nucleoplasm
APOA1		ENSG00000118137	P02647	Vesicles
APOB		ENSG00000084674	P04114	Vesicles, Cytosol
APOBEC3F	ARP8, BK150C2.4.MRNA, KA6	ENSG00000128394	Q8IUX4	Nucleoplasm, Cytosol
APOBEC3G	bK150C2.7, CEM15, dJ494G10.1, FLJ12740, MDS019	ENSG00000239713	Q9HC16	Nucleoplasm, Cytosol
APOL2	APOL-II	ENSG00000128335	Q9BQE5	Nucleoplasm, Cytosol
APOL6	APOL-VI, APOLVI	ENSG00000221963	Q9BWW8	Nucleoplasm, Nuclear bodies
APOLD1	DKFZP434F0318, FLJ25138	ENSG00000178878	Q96LR9	Nucleoplasm, Cytosol
APOO	FAM121B, MGC4825, Mic23, MIC26, My025	ENSG00000184831	Q9BUR5	Mitochondria
APRT		ENSG00000198931	P07741	Nucleoplasm, Cytosol
ARAP1	CENTD2	ENSG00000186635	Q96P48	Nucleoplasm, Plasma membrane
ARF1		ENSG00000143761	P84077	Cytosol
ARFGAP3	ARFGAP1	ENSG00000242247	Q9NP61	Cytosol
ARFGEF1	ARFGEP1, BIG1, DKFZP434L057, p200	ENSG00000066777	Q9Y6D6	Golgi apparatus
ARGLU1	FLJ10154	ENSG00000134884	Q9NWB6	Nucleoplasm
ARHGAP10	FLJ20896, FLJ41791, GRAF2	ENSG00000071205	A1A4S6	Nucleoplasm
ARHGAP11A	KIAA0013	ENSG00000198826	Q6P4F7	Cytosol
ARHGAP17	FLJ10308, FLJ13219, NADRIN, RICH1, WBP15	ENSG00000140750	Q68EM7	Nucleoplasm, Cytosol
ARHGAP18	bA307O14.2, MacGAP	ENSG00000146376	Q8N392	Plasma membrane, Cytosol
ARHGAP22	RhoGAP2	ENSG00000128805	Q7Z5H3	Nucleoplasm, Cytosol
ARHGAP23	KIAA1501	ENSG00000275832	Q9P227	Nucleoplasm, Plasma membrane
ARHGAP24	DKFZP564B1162, FilGAP, FLJ33877	ENSG00000138639	Q8N264	Plasma membrane, Cytosol
ARHGAP26	GRAF, KIAA0621, OPHN1L, OPHN1L1	ENSG00000145819	Q9UNA1	Cytosol
ARHGAP29	PARG1	ENSG00000137962	Q52LW3	Nucleoplasm, Centrosome
ARHGAP33	FLJ39019, SNX26, TCGAP	ENSG00000004777	O14559	Plasma membrane
ARHGAP39	CrGAP, KIAA1688, Vilse	ENSG00000147799	Q9C0H5	Cytosol
ARHGAP40	C20orf95, dJ1100H13.4	ENSG00000124143	Q5TG30	Plasma membrane, Cytosol
ARHGAP42	AD031, FLJ32810, GRAF3, TMEM133	ENSG00000165895	A6NI28, Q9H2Q1	Nuclear speckles
ARHGAP5	GFI2, p190-B, p190BRhoGAP, RhoGAP5	ENSG00000100852	Q13017	Endoplasmic reticulum, Cytosol
ARHGAP6	rhoGAPX-1	ENSG00000047648	O43182	Cytosol
ARHGDIA	GDIA1, RHOGDI	ENSG00000141522	P52565	Cytosol
ARHGDIB	GDIA2, GDID4, Ly-GDI, RAP1GN1, RhoGDI2	ENSG00000111348	P52566	Cytosol
ARHGDIG	RHOGDI-3	ENSG00000242173	Q99819	Plasma membrane, Cytosol
ARHGEF1	LBCL2, P115-RHOGEF, SUB1.5	ENSG00000076928	Q92888	Plasma membrane, Cytosol
ARHGEF10L	FLJ10521, KIAA1626	ENSG00000074964	Q9HCE6	Golgi apparatus, Vesicles, Cytosol
ARHGEF12	KIAA0382, LARG	ENSG00000196914	Q9NZN5	Plasma membrane, Cytosol
ARHGEF17	KIAA0337, p164-RhoGEF, TEM4	ENSG00000110237	Q96PE2	Cytosol
ARHGEF18	KIAA0521, MGC15913, P114-RhoGEF	ENSG00000104880	Q6ZSZ5	Cytosol
ARHGEF26	DKFZP434D146, SGEF	ENSG00000114790	Q96DR7	Plasma membrane
ARHGEF28	p190RhoGEF, RGNEF, RIP2	ENSG00000214944	Q8N1W1	Microtubules, Cytosol
ARHGEF3	DKFZP434F2429, GEF3, STA3, XPLN	ENSG00000163947	Q9NR81	Cytosol
ARHGEF37	FLJ41603	ENSG00000183111	A1IGU5	Cytosol
ARHGEF40	FLJ10357, solo	ENSG00000165801	Q8TER5	Cytosol
ARHGEF5	GEF5, P60, TIM, TIM1	ENSG00000050327	Q12774	Plasma membrane, Cytosol
ARHGEF6	alpha-PIX, alphaPIX, Cool-2, Cool2, KIAA0006, MRX46	ENSG00000129675	Q15052	Cytosol
ARHGEF9	KIAA0424, PEM-2	ENSG00000131089	O43307	Cytosol
ARID3A	BRIGHT, DRIL1	ENSG00000116017	Q99856	Nucleoplasm
ARID4A	RBBP1, RBP-1, RBP1	ENSG00000032219	P29374	Nucleoplasm
ARID5B	FLJ21150, MRF2	ENSG00000150347	Q14865	Endoplasmic reticulum
ARL13B	ARL2L1, DKFZp761H079, JBTS8	ENSG00000169379	Q3SXY8	Microtubules
ARL14EP	ARF7EP, C11orf46, FLJ38968	ENSG00000152219	Q8N8R7	Vesicles, Focal adhesion sites, Cytosol
ARL2	ARFL2	ENSG00000213465	P36404	Nucleoplasm
ARL4A	ARL4	ENSG00000122644	P40617	Nucleoplasm
ARL4C	ARL7, LAK	ENSG00000188042	P56559	Plasma membrane
ARL6IP6	MGC33864	ENSG00000177917	Q8N6S5	Nuclear membrane
ARMC5	FLJ13063	ENSG00000140691	Q96C12	Nucleoplasm, Cytosol
ARMC6	MGC19595	ENSG00000105676	Q6NXE6	Cytosol
ARMC7	FLJ22160	ENSG00000125449	Q9H6L4	Cytosol
ARMC8	DKFZP434A043, GID5, HSPC056, VID28	ENSG00000114098	Q8IUR7	Nucleoplasm
ARMCX1	ALEX1, GASP7	ENSG00000126947	Q9P291	Nucleoplasm, Mitochondria
ARMCX3	ALEX3, GASP6	ENSG00000102401	Q9UH62	Nucleoplasm
ARMCX5	FLJ12969, GASP5	ENSG00000125962	Q6P1M9	Nuclear speckles, Cytosol
ARMCX6	FLJ20811, GASP10	ENSG00000198960	Q7L4S7	Cytosol
