GeneName	Description	Process	Comment
OXCT2	Key enzyme for ketone body catabolism. Transfers the CoA moiety from succinate to acetoacetate. Formation of the enzyme-CoA intermediate proceeds via an unstable anhydride species formed between the carboxylate groups of the enzyme and substrate (By similarity)	Amino Acid Metabolism	mitomitoXplorer | These genes are present in mitomitoXplorer only
PHYKPL	This is a nuclear gene encoding a mitochondrial enzyme that catalyzes the conversion of 5-phosphonooxy-L-lysine to ammonia, inorganic phosphate, and 2-aminoadipate semialdehyde. Mutations in this gene may cause phosphohydroxylysinuria. Alternative splicing results in multiple transcript variants. [provided by RefSeq, May 2013],	Amino Acid Metabolism	mitomitoXplorer | These genes are present in mitomitoXplorer only
SQOR	The protein encoded by this gene may function in mitochondria to catalyze the conversion of sulfide to persulfides, thereby decreasing toxic concencrations of sulfide. Alternative splicing results in multiple transcript variants that encode the same protein. [provided by RefSeq, Sep 2012]	Amino Acid Metabolism	mitomitoXplorer | These genes are present in mitomitoXplorer only
DBT	The branched-chain alpha-keto dehydrogenase complex catalyzes the overall conversion of alpha-keto acids to acyl-CoA and CO(2). It contains multiple copies of three enzymatic components: branched-chain alpha-keto acid decarboxylase (E1), lipoamide acyltransferase (E2) and lipoamide dehydrogenase (E3)	Amino Acid Metabolism	present in both datasets 
BCKDHA	The branched-chain alpha-keto dehydrogenase complex catalyzes the overall conversion of alpha-keto acids to acyl-CoA and CO(2). It contains multiple copies of three enzymatic components: branched-chain alpha-keto acid decarboxylase (E1), lipoamide acyltransferase (E2) and lipoamide dehydrogenase (E3)	Amino Acid Metabolism	present in both datasets 
BCKDHB	The branched-chain alpha-keto dehydrogenase complex catalyzes the overall conversion of alpha-keto acids to acyl-CoA and CO(2). It contains multiple copies of three enzymatic components: branched-chain alpha-keto acid decarboxylase (E1), lipoamide acyltransferase (E2) and lipoamide dehydrogenase (E3)	Amino Acid Metabolism	present in both datasets 
AUH	Catalyzes the conversion of 3-methylglutaconyl-CoA to 3- hydroxy-3-methylglutaryl-CoA. Has very low enoyl-CoA hydratase activity. Was originally identified as RNA-binding protein that binds in vitro to clustered 5'-AUUUA-3' motifs	Amino Acid Metabolism	present in both datasets 
ABHD11	This gene encodes a protein containing an alpha/beta hydrolase fold domain. This gene is deleted in Williams syndrome, a multisystem developmental disorder caused by the deletion of contiguous genes at 7q11.23. [provided by RefSeq, Mar 2016],	Amino Acid Metabolism	present in both datasets 
HIBCH	This gene encodes the enzyme responsible for hydrolysis of both HIBYL-CoA and beta-hydroxypropionyl-CoA. Mutations in this gene have been associated with 3-hyroxyisobutyryl-CoA hydrolase deficiency. Alternative splicing results in multiple transcript variants.[provided by RefSeq, May 2010],	Amino Acid Metabolism	present in both datasets 
ACAT1	Plays a major role in ketone body metabolism	Amino Acid Metabolism	present in both datasets 
BCKDK	The branched-chain alpha-ketoacid dehydrogenase complex (BCKD) is an important regulator of the valine, leucine, and isoleucine catabolic pathways. The protein encoded by this gene is found in the mitochondrion, where it phosphorylates and inactivates BCKD. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Dec 2012],	Amino Acid Metabolism	present in both datasets 
OXCT1	Key enzyme for ketone body catabolism. Transfers the CoA moiety from succinate to acetoacetate. Formation of the enzyme-CoA intermediate proceeds via an unstable anhydride species formed between the carboxylate groups of the enzyme and substrate	Amino Acid Metabolism	present in both datasets 
ALDH4A1	This protein belongs to the aldehyde dehydrogenase family of proteins. This enzyme is a mitochondrial matrix NAD-dependent dehydrogenase which catalyzes the second step of the proline degradation pathway, converting pyrroline-5-carboxylate to glutamate. Deficiency of this enzyme is associated with type II hyperprolinemia, an autosomal recessive disorder characterized by accumulation of delta-1-pyrroline-5-carboxylate (P5C) and proline. Alternatively spliced transcript variants encoding different isoforms have been identified for this gene. [provided by RefSeq, Jun 2009],	Amino Acid Metabolism	present in both datasets 
PRODH	This gene encodes a mitochondrial protein that catalyzes the first step in proline degradation. Mutations in this gene are associated with hyperprolinemia type 1 and susceptibility to schizophrenia 4 (SCZD4). This gene is located on chromosome 22q11.21, a region which has also been associated with the contiguous gene deletion syndromes, DiGeorge and CATCH22. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Aug 2010],	Amino Acid Metabolism	present in both datasets 
MCCC1	This gene encodes the large subunit of 3-methylcrotonyl-CoA carboxylase. This enzyme functions as a heterodimer and catalyzes the carboxylation of 3-methylcrotonyl-CoA to form 3-methylglutaconyl-CoA. Mutations in this gene are associated with 3-Methylcrotonylglycinuria, an autosomal recessive disorder of leucine catabolism. [provided by RefSeq, Jul 2008],	Amino Acid Metabolism	present in both datasets 
PCCA	The protein encoded by this gene is the alpha subunit of the heterodimeric mitochondrial enzyme Propionyl-CoA carboxylase. PCCA encodes the biotin-binding region of this enzyme. Mutations in either PCCA or PCCB (encoding the beta subunit) lead to an enzyme deficiency resulting in propionic acidemia. Multiple transcript variants encoding different isoforms have been found for this gene.[provided by RefSeq, May 2010],	Amino Acid Metabolism	present in both datasets 
HIBADH	This gene encodes a mitochondrial 3-hydroxyisobutyrate dehydrogenase enzyme. The encoded protein plays a critical role in the catabolism of L-valine by catalyzing the oxidation of 3-hydroxyisobutyrate to methylmalonate semialdehyde. [provided by RefSeq, Nov 2011],	Amino Acid Metabolism	present in both datasets 
ALDH6A1	Plays a role in valine and pyrimidine metabolism. Binds fatty acyl-CoA	Amino Acid Metabolism	present in both datasets 
IVD	Isovaleryl-CoA dehydrogenase (IVD) is a mitochondrial matrix enzyme that catalyzes the third step in leucine catabolism. The genetic deficiency of IVD results in an accumulation of isovaleric acid, which is toxic to the central nervous system and leads to isovaleric acidemia. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Apr 2009],	Amino Acid Metabolism	present in both datasets 
ETHE1	This gene encodes a member of the metallo beta-lactamase family of iron-containing proteins involved in the mitochondrial sulfide oxidation pathway. The encoded protein catalyzes the oxidation of a persulfide substrate to sulfite. Certain mutations in this gene cause ethylmalonic encephalopathy, an infantile metabolic disorder affecting the brain, gastrointestinal tract and peripheral vessels. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Mar 2016],	Amino Acid Metabolism	present in both datasets 
GLS	Catalyzes the first reaction in the primary pathway for the renal catabolism of glutamine	Amino Acid Metabolism	present in both datasets 
DHTKD1	The 2-oxoglutarate dehydrogenase complex catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and CO(2). It contains multiple copies of three enzymatic components: 2- oxoglutarate dehydrogenase (E1), dihydrolipoamide succinyltransferase (E2) and lipoamide dehydrogenase (E3) (By similarity)	Amino Acid Metabolism	present in both datasets 
FAHD2A	May have hydrolase activity (By similarity)	Amino Acid Metabolism	present in both datasets 
GLDC	The glycine cleavage system catalyzes the degradation of glycine. The P protein binds the alpha-amino group of glycine through its pyridoxal phosphate cofactor; CO(2) is released and the remaining methylamine moiety is then transferred to the lipoamide cofactor of the H protein	Amino Acid Metabolism	present in both datasets 
GCAT	The degradation of L-threonine to glycine consists of a two-step biochemical pathway involving the enzymes L-threonine dehydrogenase and 2-amino-3-ketobutyrate coenzyme A ligase. L-Threonine is first converted into 2-amino-3-ketobutyrate by L-threonine dehydrogenase. This gene encodes the second enzyme in this pathway, which then catalyzes the reaction between 2-amino-3-ketobutyrate and coenzyme A to form glycine and acetyl-CoA. The encoded enzyme is considered a class II pyridoxal-phosphate-dependent aminotransferase. Alternate splicing results in multiple transcript variants. A pseudogene of this gene is found on chromosome 14. [provided by RefSeq, Jan 2010],	Amino Acid Metabolism	present in both datasets 
MCCC2	This gene encodes the small subunit of  3-methylcrotonyl-CoA carboxylase. This enzyme functions as a heterodimer and catalyzes the carboxylation of 3-methylcrotonyl-CoA to form 3-methylglutaconyl-CoA. Mutations in this gene are associated with 3-Methylcrotonylglycinuria, an  autosomal recessive disorder of leucine catabolism. [provided by RefSeq, Jul 2008],	Amino Acid Metabolism	present in both datasets 
MCEE	The product of this gene catalyzes the interconversion of D- and L-methylmalonyl-CoA during the degradation of branched chain amino acids. odd chain-length fatty acids, and other metabolites. Mutations in this gene result in methylmalonyl-CoA epimerase deficiency, which is presented as mild to moderate methylmalonic aciduria. [provided by RefSeq, Jul 2008],	Amino Acid Metabolism	present in both datasets 
PRODH2	Converts proline to delta-1-pyrroline-5-carboxylate (Probable)	Amino Acid Metabolism	present in both datasets 
NIT2	Overexpression decreases the colony-forming capacity of cultured cells by arresting cells in the G2 phase of the cell cycle	Amino Acid Metabolism	present in both datasets 
CKMT2	Mitochondrial creatine kinase (MtCK) is responsible for the transfer of high energy phosphate from mitochondria to the cytosolic carrier, creatine. It belongs to the creatine kinase isoenzyme family. It exists as two isoenzymes, sarcomeric MtCK and ubiquitous MtCK, encoded by separate genes. Mitochondrial creatine kinase occurs in two different oligomeric forms: dimers and octamers, in contrast to the exclusively dimeric cytosolic creatine kinase isoenzymes. Sarcomeric mitochondrial creatine kinase has 80% homology with the coding exons of ubiquitous mitochondrial creatine kinase. This gene contains sequences homologous to several motifs that are shared among some nuclear genes encoding mitochondrial proteins and thus may be essential for the coordinated activation of these genes during mitochondrial biogenesis. Three transcript variants encoding the same protein have been found for this gene. [provided by RefSeq, Jul 2008],	Amino Acid Metabolism	present in both datasets 
SUOX	Description: EC 1.8.3.1 [validated, MUID:95322455]; sulfite oxidase; catalyzes the oxidation of sulfite and water to sulfate and hydrogen peroxide by dioxygen,	Amino Acid Metabolism	present in both datasets 
GATM	This gene encodes a mitochondrial enzyme that belongs to the amidinotransferase family. This enzyme is involved in creatine biosynthesis, whereby it catalyzes the transfer of a guanido group from L-arginine to glycine, resulting in guanidinoacetic acid, the immediate precursor of creatine. Mutations in this gene cause arginine:glycine amidinotransferase deficiency, an inborn error of creatine synthesis characterized by mental retardation, language impairment, and behavioral disorders. [provided by RefSeq, Jul 2008],	Amino Acid Metabolism	present in both datasets 
CHDH	The protein encoded by this gene is a choline dehydrogenase that localizes to the mitochondrion. Variations in this gene can affect susceptibility to choline deficiency. A few transcript variants have been found for this gene, but the full-length nature of only one has been characterized to date. [provided by RefSeq, Dec 2010],	Amino Acid Metabolism	present in both datasets 
OAT	Description: catalyzes the reversible transamination of L-ornithine and 2-oxoglutarate to form L-glutamate 5-semialdehyde and L-glutamate Pathway: arginine catabolism,	Amino Acid Metabolism	present in both datasets 
BCAT2	This gene encodes a branched chain aminotransferase found in mitochondria. The encoded protein forms a dimer that catalyzes the first step in the production of the branched chain amino acids leucine, isoleucine, and valine. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Sep 2009],	Amino Acid Metabolism	present in both datasets 
LAP3	catalytic activity:Release of an N-terminal amino acid, Xaa-|-Yaa-, in which Xaa is preferably Leu, but may be other amino acids including Pro although not Arg or Lys, and Yaa may be Pro. Amino acid amides and methyl esters are also readily hydrolyzed, but rates on arylamides are exceedingly lowcatalytic activity:Release of N-terminal proline from a peptidecofactor:Binds 2 zinc ions per subunit. One zinc ion is tightly bound and essential for enzyme activity, while the second metal coordination site can be occupied by zinc, magnesium or manganese to give enzymes of different activitiesfunction:Presumably involved in the processing and regular turnover of intracellular proteins. Catalyzes the removal of unsubstituted N-terminal amino acids from various peptidessimilarity:Belongs to the peptidase M17 familysubunit:Homohexamer	Amino Acid Metabolism	present in both datasets 
GLUD1	May be involved in learning and memory reactions by increasing the turnover of the excitatory neurotransmitter glutamate (By similarity)	Amino Acid Metabolism	present in both datasets 
HMGCL	The protein encoded by this gene belongs to the HMG-CoA lyase family. It is a mitochondrial enzyme that catalyzes the final step of leucine degradation and plays a key role in ketone body formation. Mutations in this gene are associated with HMG-CoA lyase deficiency. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2009],	Amino Acid Metabolism	present in both datasets 
ALDH18A1	This gene is a member of the aldehyde dehydrogenase family and encodes a bifunctional ATP- and NADPH-dependent mitochondrial enzyme with both gamma-glutamyl kinase and gamma-glutamyl phosphate reductase activities. The encoded protein catalyzes the reduction of glutamate to delta1-pyrroline-5-carboxylate, a critical step in the de novo biosynthesis of proline, ornithine and arginine. Mutations in this gene lead to hyperammonemia, hypoornithinemia, hypocitrullinemia, hypoargininemia and hypoprolinemia and may be associated with neurodegeneration, cataracts and connective tissue diseases. Alternatively spliced transcript variants, encoding different isoforms, have been described for this gene. [provided by RefSeq, Jul 2008],	Amino Acid Metabolism	present in both datasets 
GSTZ1	Bifunctional enzyme showing minimal glutathione- conjugating activity with ethacrynic acid and 7-chloro-4- nitrobenz-2-oxa-1,3-diazole and maleylacetoacetate isomerase activity. Has also low glutathione peroxidase activity with T- butyl and cumene hydroperoxides. Is able to catalyze the glutathione dependent oxygenation of dichloroacetic acid to glyoxylic acid	Amino Acid Metabolism	present in both datasets 
PDF	Removes the formyl group from the N-terminal Met of newly synthesized proteins (By similarity)Required for normal Golgi function (By similarity)	Amino Acid Metabolism	present in both datasets 
AMT	The glycine cleavage system catalyzes the degradation of glycine	Amino Acid Metabolism	present in both datasets 
AADAT	Shows activity also towards tryptophan, aspartate and hydroxykinurenine	Amino Acid Metabolism	present in both datasets 
AASS	Bifunctional enzyme that catalyzes the first two steps in lysine degradation. The N-terminal and the C-terminal contain lysine-ketoglutarate reductase and saccharopine dehydrogenase activity, respectively	Amino Acid Metabolism	present in both datasets 
AGXT2	The protein encoded by this gene is a class III pyridoxal-phosphate-dependent mitochondrial aminotransferase. It catalyzes the conversion of glyoxylate to glycine using L-alanine as the amino donor. It is an important regulator of methylarginines and is involved in the control of blood pressure in kidney. Polymorphisms in this gene affect methylarginine and beta-aminoisobutyrate metabolism, and are associated with carotid atherosclerosis. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Apr 2015],	Amino Acid Metabolism	present in both datasets 
GLS2	Plays an important role in the regulation of glutamine catabolism	Amino Acid Metabolism	present in both datasets 
GCSH	The glycine cleavage system catalyzes the degradation of glycine. The H protein shuttles the methylamine group of glycine from the P protein to the T protein	Amino Acid Metabolism	present in both datasets 
GPT2	This gene encodes a mitochondrial alanine transaminase, a pyridoxal enzyme that catalyzes the reversible transamination between alanine and 2-oxoglutarate to generate pyruvate and glutamate. Alanine transaminases play roles in gluconeogenesis and amino acid metabolism in many tissues including skeletal muscle, kidney, and liver. Activating transcription factor 4 upregulates this gene under metabolic stress conditions in hepatocyte cell lines. A loss of function mutation in this gene has been associated with developmental encephalopathy. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Apr 2015],	Amino Acid Metabolism	present in both datasets 
TST	Formation of iron-sulfur complexes, cyanide detoxification or modification of sulfur-containing enzymes. Other thiol compounds, besides cyanide, can act as sulfur ion acceptors. Also has weak mercaptopyruvate sulfurtransferase (MST) activity (By similarity)	Amino Acid Metabolism	present in both datasets 
NIT1	This gene encodes a member of the nitrilase protein family with homology to bacterial and plant nitrilases, enzymes that cleave nitriles and organic amides to the corresponding carboxylic acids plus ammonia. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jun 2010],	Amino Acid Metabolism	present in both datasets 
FAHD1	May have hydrolase activity	Amino Acid Metabolism	present in both datasets 
KMO	This gene encodes a mitochondrion outer membrane protein that catalyzes the hydroxylation of L-tryptophan metabolite, L-kynurenine, to form L-3-hydroxykynurenine. Studies in yeast identified this gene as a therapeutic target for Huntington disease. [provided by RefSeq, Oct 2011],	Amino Acid Metabolism	present in both datasets 
NADK2	This gene encodes a mitochondrial kinase that catalyzes the phosphorylation of NAD to yield NADP. Mutations in this gene result in 2,4-dienoyl-CoA reductase deficiency. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Oct 2014],	Amino Acid Metabolism	present in both datasets 
MPST	Transfer of a sulfur ion to cyanide or to other thiol compounds. Also has weak rhodanese activity. May have a role in cyanide degradation or in thiosulfate biosynthesis	Amino Acid Metabolism	present in both datasets 
ALDH5A1	This protein belongs to the aldehyde dehydrogenase family of proteins. This gene encodes a mitochondrial NAD(+)-dependent succinic semialdehyde dehydrogenase. A deficiency of this enzyme, known as 4-hydroxybutyricaciduria, is a rare inborn error in the metabolism of the neurotransmitter 4-aminobutyric acid (GABA). In response to the defect, physiologic fluids from patients accumulate GHB, a compound with numerous neuromodulatory properties. Two transcript variants encoding distinct isoforms have been identified for this gene. [provided by RefSeq, Jul 2008],	Amino Acid Metabolism	present in both datasets 
CKMT1A	Mitochondrial creatine (MtCK) kinase is responsible for the transfer of high energy phosphate from mitochondria to the cytosolic carrier, creatine. It belongs to the creatine kinase isoenzyme family. It exists as two isoenzymes, sarcomeric MtCK and ubiquitous MtCK, encoded by separate genes. Mitochondrial creatine kinase occurs in two different oligomeric forms: dimers and octamers, in contrast to the exclusively dimeric cytosolic creatine kinase isoenzymes. Many malignant cancers with poor prognosis have shown overexpression of ubiquitous mitochondrial creatine kinase; this may be related to high energy turnover and failure to eliminate cancer cells via apoptosis. Ubiquitous mitochondrial creatine kinase has 80% homology with the coding exons of sarcomeric mitochondrial creatine kinase. Two genes located near each other on chromosome 15 have been identified which encode identical mitochondrial creatine kinase proteins. [provided by RefSeq, Jul 2008],	Amino Acid Metabolism	present in both datasets 
HMGCS2	This enzyme condenses acetyl-CoA with acetoacetyl-CoA to form HMG-CoA, which is the substrate for HMG-CoA reductase	Amino Acid Metabolism	present in both datasets 
ABAT	Catalyzes the conversion of gamma-aminobutyrate and L- beta-aminoisobutyrate to succinate semialdehyde and methylmalonate semialdehyde, respectively. Can also convert delta-aminovalerate and beta-alanine	Amino Acid Metabolism	present in both datasets 
ABHD10	This gene encodes a mitochondrially-localized enzyme that acts in liver cells as a hydrolase. The encoded protein removes glucuronide from mycophenolic acid acyl-glucuronide. There is a pseudogene for this gene on chromosome 6. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2013],	Amino Acid Metabolism	present in both datasets 
GOT2	Facilitates cellular uptake of long-chain free fatty acids (By similarity)	Amino Acid Metabolism	present in both datasets 
SUGCT	This gene encodes a protein that is similar to members of the CaiB/baiF CoA-transferase protein family. Mutations in this gene are associated with glutaric aciduria type III. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Jul 2010],	Amino Acid Metabolism	present in both datasets 
PYCR2	This gene belongs to the pyrroline-5-carboxylate reductase family. The encoded mitochondrial protein catalyzes the conversion of pyrroline-5-carboxylate to proline, which is the last step in proline biosynthesis. Alternatively spliced transcript variants have been described for this gene. [provided by RefSeq, Nov 2012],	Amino Acid Metabolism	present in both datasets 
QDPR	This gene encodes the enzyme dihydropteridine reductase, which catalyzes the NADH-mediated reduction of quinonoid dihydrobiopterin.  This enzyme is an essential component of the pterin-dependent aromatic amino acid hydroxylating systems. Mutations in this gene resulting in QDPR deficiency include aberrant splicing, amino acid substitutions, insertions, or premature terminations.  Dihydropteridine reductase deficiency presents as atypical phenylketonuria due to insufficient production of biopterin, a cofactor for phenylalanine hydroxylase. [provided by RefSeq, Jul 2008],	Amino Acid Metabolism	present in both datasets 
AGMAT	catalytic activity:Agmatine + H(2)O = putrescine + ureacofactor:Manganese pathway:Amine and polyamine biosynthesis; putrescine biosynthesis via agmatine pathway; putrescine from agmatine (ADC route): step 1/1similarity:Belongs to the arginase family. Agmatinase subfamilytissue specificity:Highly expressed in liver and kidney. Also found in skeletal muscle, fetal liver, brain, testis, skin and the gastrointestinal tract	Amino Acid Metabolism	present in both datasets 
MAOB	Catalyzes the oxidative deamination of biogenic and xenobiotic amines and has important functions in the metabolism of neuroactive and vasoactive amines in the central nervous system and peripheral tissues. MAOB preferentially degrades benzylamine and phenylethylamine	Amino Acid Metabolism	present in both datasets 
AGXT	Description: catalyzes the transamination of L-serine and pyruvate to 3-hydroxpyruvate and L-alanine; catalyzes the transamination of L-alanine and glyoxylate to pyruvate and glycine,	Amino Acid Metabolism	present in both datasets 
PPM1K	This gene encodes a member of the PPM family of Mn2+/Mg2+-dependent protein phosphatases. The encoded protein, essential for cell survival and development, is targeted to the mitochondria where it plays a key role in regulation of the mitochondrial permeability transition pore. [provided by RefSeq, Sep 2012],	Amino Acid Metabolism	present in both datasets 
MAOA	Catalyzes the oxidative deamination of biogenic and xenobiotic amines and has important functions in the metabolism of neuroactive and vasoactive amines in the central nervous system and peripheral tissues. MAOA preferentially oxidizes biogenic amines such as 5-hydroxytryptamine (5-HT), norepinephrine and epinephrine	Amino Acid Metabolism	present in both datasets 
PYCR1	This gene encodes an enzyme that catalyzes the NAD(P)H-dependent conversion of pyrroline-5-carboxylate to proline. This enzyme may also play a physiologic role in the generation of NADP(+) in some cell types. The protein forms a homopolymer and localizes to the mitochondrion. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Aug 2013],	Amino Acid Metabolism	present in both datasets 
CKMT1B	Mitochondrial creatine (MtCK) kinase is responsible for the transfer of high energy phosphate from mitochondria to the cytosolic carrier, creatine. It belongs to the creatine kinase isoenzyme family. It exists as two isoenzymes, sarcomeric MtCK and ubiquitous MtCK, encoded by separate genes. Mitochondrial creatine kinase occurs in two different oligomeric forms: dimers and octamers, in contrast to the exclusively dimeric cytosolic creatine kinase isoenzymes. Many malignant cancers with poor prognosis have shown overexpression of ubiquitous mitochondrial creatine kinase; this may be related to high energy turnover and failure to eliminate cancer cells via apoptosis. Ubiquitous mitochondrial creatine kinase has 80% homology with the coding exons of sarcomeric mitochondrial creatine kinase. Two genes located near each other on chromosome 15 have been identified which encode identical mitochondrial creatine kinase proteins. [provided by RefSeq, Jul 2008],	Amino Acid Metabolism	present in both datasets 
ANP32A	Implicated in a number of cellular processes, including proliferation, differentiation, caspase-dependent and caspase- independent apoptosis, suppression of transformation (tumor suppressor), inhibition of protein phosphatase 2A, regulation of mRNA trafficking and stability in association with ELAVL1, and inhibition of acetyltransferases as part of the INHAT (inhibitor of histone acetyltransferases) complex. Plays a role in E4F1- mediated transcriptional repression	Apoptosis	mitomitoXplorer | These genes are present in mitomitoXplorer only
APAF1	This gene encodes a cytoplasmic protein that initiates apoptosis. This protein contains several copies of the WD-40 domain, a caspase recruitment domain (CARD), and an ATPase domain (NB-ARC). Upon binding cytochrome c and dATP, this protein forms an oligomeric apoptosome. The apoptosome binds and cleaves caspase 9 preproprotein, releasing its mature, activated form. Activated caspase 9 stimulates the subsequent caspase cascade that commits the cell to apoptosis. Alternative splicing results in several transcript variants encoding different isoforms. [provided by RefSeq, Jul 2008],	Apoptosis	mitomitoXplorer | These genes are present in mitomitoXplorer only
BBC3	This gene encodes a member of the BCL-2 family of proteins. This family member belongs to the BH3-only pro-apoptotic subclass. The protein cooperates with direct activator proteins to induce mitochondrial outer membrane permeabilization and apoptosis. It can bind to anti-apoptotic Bcl-2 family members to induce mitochondrial dysfunction and caspase activation. Because of its pro-apoptotic role, this gene is a potential drug target for cancer therapy and for tissue injury. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Dec 2011],	Apoptosis	mitomitoXplorer | These genes are present in mitomitoXplorer only
BCL2L11	The protein encoded by this gene belongs to the BCL-2 protein family. BCL-2 family members form hetero- or homodimers and act as anti- or pro-apoptotic regulators that are involved in a wide variety of cellular activities. The protein encoded by this gene contains a Bcl-2 homology domain 3 (BH3). It has been shown to interact with other members of the BCL-2 protein family and to act as an apoptotic activator. The expression of this gene can be induced by nerve growth factor (NGF), as well as by the forkhead transcription factor FKHR-L1, which suggests a role of this gene in neuronal and lymphocyte apoptosis. Transgenic studies of the mouse counterpart suggested that this gene functions as an essential initiator of apoptosis in thymocyte-negative selection. Several alternatively spliced transcript variants of this gene have been identified. [provided by RefSeq, Jun 2013],	Apoptosis	mitomitoXplorer | These genes are present in mitomitoXplorer only
BIK	Accelerates programmed cell death. Binding to the apoptosis repressors Bcl-X(L), BHRF1, Bcl-2 or its adenovirus homolog E1B 19k protein suppresses this death-promoting activity. Does not interact with BAX	Apoptosis	mitomitoXplorer | These genes are present in mitomitoXplorer only
BIRC8	Protects against apoptosis mediated by BAX	Apoptosis	mitomitoXplorer | These genes are present in mitomitoXplorer only
BNIP1	SNARE that may be involved in targeting and fusion of Golgi-derived retrograde transport vesicles with the ER. Required for maintenance of ER network. Implicated in the suppression of cell death	Apoptosis	mitomitoXplorer | These genes are present in mitomitoXplorer only
