GeneID	Symbol	Description	Synonyms	Maestro score	FDR	Evidence	Tissues
1431	CS	citrate synthase	O75390	37	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++"	all 14
80273	GRPEL1	"GrpE-like 1, mitochondrial (E. coli)"	HMGE, Q9HAV7	37	0%	"literature, APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	all 14
1737	DLAT	dihydrolipoamide S-acetyltransferase	DLTA, PDC-E2, PDCE2, P10515	37	0%	"literature, APEX_matrix, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	all 14
10128	LRPPRC	leucine-rich pentatricopeptide repeat containing	CLONE-23970, GP130, LRP130, LSFC, P42704	37	0%	"literature, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain, induction, coexpression++, MS/MS++"	all 14
8050	PDHX	"pyruvate dehydrogenase complex, component X"	DLDBP, E3BP, OPDX, PDX1, proX, O00330	37	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS+"	all 14
1743	DLST	dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)	DLTS, P36957	37	0%	"literature, APEX_IMS, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS+"	all 14
85476	GFM1	"G elongation factor, mitochondrial 1"	COXPD1, EFG, EFG1, EFGM, EGF1, GFM, hEFG1, Q96RP9	37	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++"	all 14
25874	MPC2	mitochondrial pyruvate carrier 2	BRP44, O95563	37	0%	"literature, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++"	all 14
4719	NDUFS1	"NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase)"	CI-75Kd, CI-75k, PRO1304, P28331	36	0%	"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	all 14
26589	MRPL46	mitochondrial ribosomal protein L46	C15orf4, LIECG2, P2ECSL, Q9H2W6	36	0%	"literature, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain, induction, coexpression++, MS/MS++"	cerebrum, cerebellum, spinalcord, kidney, liver, heart, adipose, smallintestine, largeintestine, placenta, testis
5250	SLC25A3	"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3"	PHC, PTP, Q00325	36	0%	"literature, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++"	all 14
514	ATP5E	"ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit"	ATPE, MC5DN3, P56381	36	0%	"literature, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++"	all 14
51649	MRPS23	mitochondrial ribosomal protein S23	HSPC329, MRP-S23, Q9Y3D9	36	0%	"literature, APEX_matrix, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++"	all 14
2271	FH	fumarate hydratase	HLRCC, LRCC, MCL, MCUL1, P07954	35	0%	"literature, APEX_matrix, targetP signal+, yeast mito homolog, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++"	all 14
23203	PMPCA	peptidase (mitochondrial processing) alpha	Alpha-MPP, INPP5E, P-55, Q10713	35	0%	"literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression, MS/MS++"	all 14
506	ATP5B	"ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide"	ATPMB, ATPSB, HEL-S-271, P06576	35	0%	"literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression++, MS/MS++"	all 14
135154	C6orf57	chromosome 6 open reading frame 57	Q5VUM1	35	0%	"yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS"	adipose, testis
29796	UQCR10	"ubiquinol-cytochrome c reductase, complex III subunit X"	HSPC051, HSPC151, QCR9, UCCR7.2, UCRC, Q9UDW1	35	0%	"literature, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++"	all 14
81689	ISCA1	iron-sulfur cluster assembly 1	HBLD2, ISA1, RP11-507D14.2, hIscA, Q9BUE6	35	0%	"APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, MS/MS++"	cerebrum, cerebellum, brainstem, spinalcord, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis
8803	SUCLA2	"succinate-CoA ligase, ADP-forming, beta subunit"	A-BETA, MTDPS5, SCS-betaA, Q9P2R7	34	0%	"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain, induction, coexpression+, MS/MS++"	all 14
51805	COQ3	coenzyme Q3 methyltransferase	DHHBMT, DHHBMTASE, UG0215E05, bA9819.1, Q9NZJ6	34	0%	"APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression+, MS/MS+"	cerebrum, cerebellum, brainstem, spinalcord, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis
55699	IARS2	"isoleucyl-tRNA synthetase 2, mitochondrial"	ILERS, Q9NSE4	34	0%	"APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression++, MS/MS++"	all 14
64960	MRPS15	mitochondrial ribosomal protein S15	MPR-S15, RPMS15, S15mt, P82914	34	0%	"literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression++, MS/MS++"	all 14
3419	IDH3A	isocitrate dehydrogenase 3 (NAD+) alpha	P50213	34	0%	"APEX_matrix, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++"	all 14
1353	COX11	cytochrome c oxidase assembly homolog 11 (yeast)	COX11P, Q9Y6N1	34	0%	"literature, APEX_IMS, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS"	cerebrum, cerebellum, spinalcord, skeletalmuscle, largeintestine, placenta
26519	TIMM10	translocase of inner mitochondrial membrane 10 homolog (yeast)	TIM10, TIM10A, P62072	34	0%	"literature, APEX_IMS, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++"	cerebrum, cerebellum, brainstem, spinalcord, liver, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis
2110	ETFDH	electron-transferring-flavoprotein dehydrogenase	ETFQO, MADD, Q16134	34	0%	"literature, APEX_matrix, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++"	all 14
64981	MRPL34	mitochondrial ribosomal protein L34	L34mt, Q9BQ48	34	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS"	cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, heart, adipose, smallintestine, largeintestine, stomach, placenta, testis
51069	MRPL2	mitochondrial ribosomal protein L2	MRP-L14, RPML14, Q5T653	34	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++"	spinalcord, liver, heart, adipose, smallintestine, largeintestine, placenta, testis
593	BCKDHA	"branched chain keto acid dehydrogenase E1, alpha polypeptide"	BCKDE1A, MSU, MSUD1, OVD1A, P12694	34	0%	"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, coexpression+, MS/MS++"	cerebrum, spinalcord, kidney, liver, heart, skeletalmuscle, adipose, largeintestine, stomach, placenta, testis
7388	UQCRH	ubiquinol-cytochrome c reductase hinge protein	QCR6, UQCR8, P07919	34	0%	"literature, APEX_IMS, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++"	all 14
192286	HIGD2A	"HIG1 hypoxia inducible domain family, member 2A"	RCF1b, Q9BW72	34	0%	"APEX_IMS, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++"	all 14
539	ATP5O	"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit"	ATPO, OSCP, P48047	34	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, MS/MS++"	all 14
1892	ECHS1	"enoyl CoA hydratase, short chain, 1, mitochondrial"	SCEH, P30084	33	0%	"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain, induction, coexpression+, MS/MS++"	all 14
25875	LETMD1	LETM1 domain containing 1	1110019O13Rik, HCCR-1, HCCR-2, HCCR1, HCRR-2, Q6P1Q0	33	0%	"GFP, targetP signal+, yeast mito homolog+, mito protein domain+, induction, coexpression, MS/MS++"	cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, adipose, smallintestine, largeintestine, placenta, testis
1337	COX6A1	cytochrome c oxidase subunit VIa polypeptide 1	COX6A, COX6AL, P12074	33	0%	"literature, targetP signal+, yeast mito homolog+, mito protein domain+, induction, coexpression, MS/MS++"	all 14
1355	COX15	cytochrome c oxidase assembly homolog 15 (yeast)	CEMCOX2, Q7KZN9	33	0%	"literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression++, MS/MS"	cerebrum, brainstem, spinalcord, kidney, liver, adipose, smallintestine, largeintestine, stomach, placenta, testis
10939	AFG3L2	AFG3-like AAA ATPase 2	SCA28, SPAX5, Q9Y4W6	33	0%	"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	all 14
3030	HADHA	"hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), alpha subunit"	ECHA, GBP, HADH, LCEH, LCHAD, MTPA, TP-ALPHA, P40939	33	0%	"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain, coexpression++, MS/MS++"	all 14
2108	ETFA	"electron-transfer-flavoprotein, alpha polypeptide"	EMA, GA2, MADD, P13804	33	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain, induction, coexpression++, MS/MS++"	all 14
374291	NDUFS7	"NADH dehydrogenase (ubiquinone) Fe-S protein 7, 20kDa (NADH-coenzyme Q reductase)"	CI-20, CI-20KD, MY017, PSST, O75251	33	0%	"literature, APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++"	all 14
1376	CPT2	carnitine palmitoyltransferase 2	CPT1, CPTASE, IIAE4, P23786	32	0%	"literature, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain, induction, coexpression+, MS/MS++"	all 14
594	BCKDHB	"branched chain keto acid dehydrogenase E1, beta polypeptide"	E1B, dJ279A18.1, P21953	32	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, coexpression+, MS/MS++"	cerebrum, cerebellum, brainstem, spinalcord, liver, heart, skeletalmuscle, adipose, largeintestine, stomach, placenta, testis
3420	IDH3B	isocitrate dehydrogenase 3 (NAD+) beta	H-IDHB, RP46, O43837	32	0%	"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS++"	all 14
23395	LARS2	"leucyl-tRNA synthetase 2, mitochondrial"	LEURS, PRLTS4, Q15031	32	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression++, MS/MS++"	all 14
35	ACADS	"acyl-CoA dehydrogenase, C-2 to C-3 short chain"	ACAD3, SCAD, P16219	32	0%	"literature, APEX_matrix, targetP signal+, mito protein domain+, induction, coexpression++, MS/MS++"	all 14
3954	LETM1	leucine zipper-EF-hand containing transmembrane protein 1	O95202	32	0%	"literature, APEX_IMS, APEX_matrix, targetP signal, yeast mito homolog+, mito protein domain+, coexpression++, MS/MS++"	all 14
521	ATP5I	"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit E"	ATP5K, P56385	32	0%	"literature, APEX_IMS, yeast mito homolog++, mito protein domain+, coexpression++, MS/MS++"	all 14
4976	OPA1	optic atrophy 1 (autosomal dominant)	MGM1, NPG, NTG, largeG, O60313	32	0%	"literature, APEX_IMS, targetP signal, yeast mito homolog++, mito protein domain, induction, coexpression++, MS/MS++"	all 14
549	AUH	AU RNA binding protein/enoyl-CoA hydratase	Q13825	32	0%	"literature, APEX_matrix, yeast mito homolog+, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++"	all 14
8802	SUCLG1	"succinate-CoA ligase, alpha subunit"	GALPHA, MTDPS9, SUCLA1, P53597	32	0%	"yeast mito homolog+, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++"	all 14
4729	NDUFV2	"NADH dehydrogenase (ubiquinone) flavoprotein 2, 24kDa"	CI-24k, P19404	32	0%	"literature, APEX_matrix, targetP signal+, Rickettsial homolog, induction, coexpression++, MS/MS++"	all 14
51004	COQ6	coenzyme Q6 monooxygenase	CGI10, COQ10D6, Q9Y2Z9	31	0%	"literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression+, MS/MS+"	cerebrum, cerebellum, spinalcord, kidney, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis
84545	MRPL43	mitochondrial ribosomal protein L43	bMRP36a, Q8N983	31	0%	"literature, targetP signal+, yeast mito homolog++, mito protein domain, induction, coexpression, MS/MS++"	all 14
83451	ABHD11	abhydrolase domain containing 11	WBSCR21, Q8NFV4	31	0%	"literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression+, MS/MS++"	cerebrum, brainstem, spinalcord, kidney, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis
522	ATP5J	"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F6"	ATP5, ATP5A, ATPM, CF6, F6, P18859	31	0%	"literature, APEX_IMS, targetP signal+, mito protein domain+, induction, coexpression++, MS/MS++"	all 14
4714	NDUFB8	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 8, 19kDa"	ASHI, CI-ASHI, O95169	31	0%	"literature, APEX_IMS, APEX_matrix, targetP signal+, mito protein domain+, induction, coexpression++, MS/MS++"	all 14
9361	LONP1	"lon peptidase 1, mitochondrial"	LON, LONP, LonHS, PIM1, PRSS15, hLON, P36776	31	0%	"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS++"	all 14
1738	DLD	dihydrolipoamide dehydrogenase	DLDD, DLDH, E3, GCSL, LAD, PHE3, P09622	31	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++"	all 14
9131	AIFM1	"apoptosis-inducing factor, mitochondrion-associated, 1"	AIF, CMT2D, CMTX4, COWCK, COXPD6, NADMR, NAMSD, PDCD8, O95831	31	0%	"literature, APEX_IMS, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++"	all 14
79746	ECHDC3	enoyl CoA hydratase domain containing 3	Q96DC8	31	0%	"targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS++"	spinalcord, kidney, liver, heart, adipose, largeintestine, stomach, placenta, testis
139322	APOOL	apolipoprotein O-like	CXorf33, FAM121A, UNQ8193, Q6UXV4	31	0%	"literature, yeast mito homolog, mito protein domain+, induction, coexpression++, MS/MS++"	all 14
124995	MRPL10	mitochondrial ribosomal protein L10	L10MT, MRP-L10, MRP-L8, MRPL8, RPML8, Q7Z7H8	30	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression+, MS/MS++"	all 14
92399	MRRF	mitochondrial ribosome recycling factor	MRFF, MTRRF, RRF, Q96E11	30	0%	"literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression, MS/MS++"	all 14
4728	NDUFS8	"NADH dehydrogenase (ubiquinone) Fe-S protein 8, 23kDa (NADH-coenzyme Q reductase)"	CI-23k, CI23KD, TYKY, O00217	30	0%	"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++"	all 14
34	ACADM	"acyl-CoA dehydrogenase, C-4 to C-12 straight chain"	ACAD1, MCAD, MCADH, P11310	30	0%	"literature, APEX_matrix, targetP signal, mito protein domain+, induction, coexpression++, MS/MS++"	all 14
10989	IMMT	"inner membrane protein, mitochondrial"	HMP, MINOS2, P87, P87/89, P89, PIG52, Q16891	30	0%	"literature, targetP signal, yeast mito homolog, mito protein domain+, coexpression++, MS/MS++"	all 14
26520	TIMM9	translocase of inner mitochondrial membrane 9 homolog (yeast)	TIM9, TIM9A, Q9Y5J7	30	0%	"literature, APEX_IMS, yeast mito homolog++, mito protein domain+, induction, coexpression+, MS/MS++"	all 14
291	SLC25A4	"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4"	1, AAC1, ANT, ANT 1, ANT1, MTDPS12, PEO2, PEO3, T1, P12235	30	0%	"literature, yeast mito homolog++, mito protein domain+, induction, coexpression, MS/MS++"	all 14
25813	SAMM50	SAMM50 sorting and assembly machinery component	OMP85, SAM50, TOB55, TRG-3, YNL026W, Q9Y512	30	0%	"literature, APEX_IMS, APEX_matrix, yeast mito homolog++, Rickettsial homolog, induction, coexpression++, MS/MS++"	all 14
4723	NDUFV1	"NADH dehydrogenase (ubiquinone) flavoprotein 1, 51kDa"	CI-51K, CI51KD, UQOR1, P49821	30	0%	"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++"	all 14
4720	NDUFS2	"NADH dehydrogenase (ubiquinone) Fe-S protein 2, 49kDa (NADH-coenzyme Q reductase)"	CI-49, O75306	30	0%	"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++"	all 14
50	ACO2	"aconitase 2, mitochondrial"	ACONM, ICRD, Q99798	30	0%	"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++"	all 14
6832	SUPV3L1	"suppressor of var1, 3-like 1 (S. cerevisiae)"	SUV3, Q8IYB8	30	0%	"literature, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain, induction, coexpression+, MS/MS+"	cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, heart, skeletalmuscle, adipose, largeintestine, stomach, placenta, testis
2235	FECH	ferrochelatase	EPP, FCE, P22830	30	0%	"literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression, MS/MS++"	all 14
4528	MTIF2	mitochondrial translational initiation factor 2	P46199	30	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS"	all 14
5245	PHB	prohibitin	HEL-215, HEL-S-54e, PHB1, P35232	29	0%	"literature, yeast mito homolog+, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++"	all 14
26275	HIBCH	3-hydroxyisobutyryl-CoA hydrolase	HIBYLCOAH, Q6NVY1	29	0%	"literature, APEX_matrix, targetP signal+, yeast mito homolog+, mito protein domain, induction, coexpression, MS/MS++"	all 14
51116	MRPS2	mitochondrial ribosomal protein S2	MRP-S2, S2mt, Q9Y399	29	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression+, MS/MS+"	cerebrum, cerebellum, brainstem, spinalcord, liver, heart, adipose, smallintestine, largeintestine, stomach, placenta, testis
3313	HSPA9	heat shock 70kDa protein 9 (mortalin)	CSA, GRP-75, GRP75, HEL-S-124m, HSPA9B, MOT, MOT2, MTHSP75, PBP74, P38646	29	0%	"APEX_matrix, targetP signal+, yeast mito homolog, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS++"	all 14
6834	SURF1	surfeit 1	Q15526	29	0%	"literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression, MS/MS"	cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, adipose, smallintestine, largeintestine, stomach, placenta, testis
10935	PRDX3	peroxiredoxin 3	AOP-1, AOP1, HBC189, MER5, PRO1748, SP-22, prx-III, P30048	29	0%	"literature, APEX_IMS, APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++"	all 14
27069	GHITM	growth hormone inducible transmembrane protein	DERP2, HSPC282, MICS1, PTD010, TMBIM5, Q9H3K2	29	0%	"literature, APEX_IMS, targetP signal+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS"	all 14
